id,upsert_date,contributor,algo_start_date,batch_nb,mode,init_batch_size,update_batch_size
1,2023-10-04 15:38:03.34838+00,jesshuan,2023-10-04 14:31:07.337775+00,1,equiprobable,10000,9174
2,2023-10-04 16:43:26.496778+00,jesshuan,2023-10-04 14:31:07.337775+00,2,equiprobable,10000,9117
3,2023-10-04 17:47:22.929454+00,jesshuan,2023-10-04 14:31:07.337775+00,3,equiprobable,10000,9146
4,2023-10-04 18:57:28.539283+00,jesshuan,2023-10-04 14:31:07.337775+00,4,equiprobable,10000,9163
5,2023-10-04 20:05:31.232985+00,jesshuan,2023-10-04 14:31:07.337775+00,5,equiprobable,10000,9171
6,2023-10-04 21:08:12.195846+00,jesshuan,2023-10-04 14:31:07.337775+00,6,equiprobable,10000,9141
7,2023-10-04 22:12:01.92103+00,jesshuan,2023-10-04 14:31:07.337775+00,7,equiprobable,10000,9172
8,2023-10-04 23:14:09.26764+00,jesshuan,2023-10-04 14:31:07.337775+00,8,equiprobable,10000,9110
9,2023-10-05 00:16:49.472846+00,jesshuan,2023-10-04 14:31:07.337775+00,9,equiprobable,10000,9156
10,2023-10-05 01:19:45.36675+00,jesshuan,2023-10-04 14:31:07.337775+00,10,equiprobable,10000,9123
11,2023-10-05 02:23:25.252262+00,jesshuan,2023-10-04 14:31:07.337775+00,11,equiprobable,10000,9154
12,2023-10-05 03:26:18.646625+00,jesshuan,2023-10-04 14:31:07.337775+00,12,equiprobable,10000,9168
13,2023-10-05 04:31:48.724333+00,jesshuan,2023-10-04 14:31:07.337775+00,13,equiprobable,10000,9137
14,2023-10-05 05:35:36.919432+00,jesshuan,2023-10-04 14:31:07.337775+00,14,equiprobable,10000,9163
15,2023-10-05 06:38:56.679855+00,jesshuan,2023-10-04 14:31:07.337775+00,15,equiprobable,10000,9096
16,2023-10-05 07:47:41.901255+00,jesshuan,2023-10-04 14:31:07.337775+00,16,equiprobable,10000,9151
17,2023-10-05 08:51:39.849447+00,jesshuan,2023-10-04 14:31:07.337775+00,17,equiprobable,10000,9182
18,2023-10-05 09:54:19.857943+00,jesshuan,2023-10-04 14:31:07.337775+00,18,equiprobable,10000,9122
19,2023-10-05 10:59:34.521092+00,jesshuan,2023-10-04 14:31:07.337775+00,19,equiprobable,10000,9170
20,2023-10-05 12:02:54.988826+00,jesshuan,2023-10-04 14:31:07.337775+00,20,equiprobable,10000,9162
21,2023-10-05 13:05:42.206428+00,jesshuan,2023-10-04 14:31:07.337775+00,21,equiprobable,10000,9118
22,2023-10-05 14:21:30.038718+00,jesshuan,2023-10-04 14:31:07.337775+00,22,equiprobable,10000,9163
23,2023-10-05 15:35:46.042008+00,jesshuan,2023-10-04 14:31:07.337775+00,23,equiprobable,10000,9163
24,2023-10-05 16:39:37.85318+00,jesshuan,2023-10-04 14:31:07.337775+00,24,equiprobable,10000,9160
25,2023-10-05 17:51:09.031193+00,jesshuan,2023-10-04 14:31:07.337775+00,25,equiprobable,10000,9186
26,2023-10-05 19:01:25.688713+00,jesshuan,2023-10-04 14:31:07.337775+00,26,equiprobable,10000,9137
27,2023-10-05 20:06:20.345895+00,jesshuan,2023-10-04 14:31:07.337775+00,27,equiprobable,10000,9162
28,2023-10-05 21:10:32.123865+00,jesshuan,2023-10-04 14:31:07.337775+00,28,equiprobable,10000,9126
29,2023-10-05 22:17:08.351791+00,jesshuan,2023-10-04 14:31:07.337775+00,29,equiprobable,10000,9169
30,2023-10-05 23:21:00.558605+00,jesshuan,2023-10-04 14:31:07.337775+00,30,equiprobable,10000,9114
31,2023-10-06 00:26:48.555555+00,jesshuan,2023-10-04 14:31:07.337775+00,31,equiprobable,10000,9170
32,2023-10-06 01:30:25.625588+00,jesshuan,2023-10-04 14:31:07.337775+00,32,equiprobable,10000,9171
33,2023-10-06 02:35:11.35412+00,jesshuan,2023-10-04 14:31:07.337775+00,33,equiprobable,10000,9174
34,2023-10-06 03:39:38.018549+00,jesshuan,2023-10-04 14:31:07.337775+00,34,equiprobable,10000,9149
35,2023-10-06 04:44:22.368753+00,jesshuan,2023-10-04 14:31:07.337775+00,35,equiprobable,10000,9199
36,2023-10-06 05:49:52.656928+00,jesshuan,2023-10-04 14:31:07.337775+00,36,equiprobable,10000,9165
37,2023-10-06 06:55:58.655065+00,jesshuan,2023-10-04 14:31:07.337775+00,37,equiprobable,10000,9188
38,2023-10-06 07:59:40.575116+00,jesshuan,2023-10-04 14:31:07.337775+00,38,equiprobable,10000,9177
39,2023-10-06 09:05:21.592557+00,jesshuan,2023-10-04 14:31:07.337775+00,39,equiprobable,10000,9150
40,2023-10-06 10:06:57.571407+00,jesshuan,2023-10-04 14:31:07.337775+00,40,equiprobable,10000,9148
41,2023-10-06 12:19:18.759417+00,jesshuan,2023-10-04 14:31:07.337775+00,41,equiprobable,10000,9134
42,2023-10-06 13:29:56.244409+00,jesshuan,2023-10-04 14:31:07.337775+00,42,equiprobable,10000,9154
43,2023-10-06 14:35:08.147485+00,jesshuan,2023-10-04 14:31:07.337775+00,43,equiprobable,10000,9155
44,2023-10-06 15:40:12.292556+00,jesshuan,2023-10-04 14:31:07.337775+00,44,equiprobable,10000,9130
45,2023-10-06 16:52:54.176519+00,jesshuan,2023-10-04 14:31:07.337775+00,45,equiprobable,10000,9110
46,2023-10-06 18:00:47.216574+00,jesshuan,2023-10-04 14:31:07.337775+00,46,equiprobable,10000,9145
47,2023-10-06 19:08:01.443063+00,jesshuan,2023-10-04 14:31:07.337775+00,47,equiprobable,10000,9152
48,2023-10-06 20:15:15.987839+00,jesshuan,2023-10-04 14:31:07.337775+00,48,equiprobable,10000,9106
49,2023-10-06 21:26:18.821018+00,jesshuan,2023-10-04 14:31:07.337775+00,49,equiprobable,10000,9130
50,2023-10-06 22:33:00.577908+00,jesshuan,2023-10-04 14:31:07.337775+00,50,equiprobable,10000,9207
51,2023-10-06 23:39:37.921555+00,jesshuan,2023-10-04 14:31:07.337775+00,51,equiprobable,10000,9110
52,2023-10-07 00:43:53.531455+00,jesshuan,2023-10-04 14:31:07.337775+00,52,equiprobable,10000,9158
53,2023-10-07 01:46:19.027577+00,jesshuan,2023-10-04 14:31:07.337775+00,53,equiprobable,10000,9159
54,2023-10-07 02:49:28.777178+00,jesshuan,2023-10-04 14:31:07.337775+00,54,equiprobable,10000,9179
55,2023-10-07 03:53:49.016373+00,jesshuan,2023-10-04 14:31:07.337775+00,55,equiprobable,10000,9108
56,2023-10-07 04:57:52.882434+00,jesshuan,2023-10-04 14:31:07.337775+00,56,equiprobable,10000,9174
57,2023-10-07 06:02:01.814697+00,jesshuan,2023-10-04 14:31:07.337775+00,57,equiprobable,10000,9133
58,2023-10-07 07:05:12.114828+00,jesshuan,2023-10-04 14:31:07.337775+00,58,equiprobable,10000,9144
59,2023-10-07 08:13:43.213258+00,jesshuan,2023-10-04 14:31:07.337775+00,59,equiprobable,10000,9132
60,2023-10-07 09:19:58.624791+00,jesshuan,2023-10-04 14:31:07.337775+00,60,equiprobable,10000,9143
61,2023-10-07 10:27:37.74773+00,jesshuan,2023-10-04 14:31:07.337775+00,61,equiprobable,10000,9122
62,2023-10-07 11:34:48.48765+00,jesshuan,2023-10-04 14:31:07.337775+00,62,equiprobable,10000,9135
63,2023-10-07 12:46:47.436087+00,jesshuan,2023-10-04 14:31:07.337775+00,63,equiprobable,10000,9152
64,2023-10-07 13:53:17.731755+00,jesshuan,2023-10-04 14:31:07.337775+00,64,equiprobable,10000,9155
65,2023-10-07 15:07:59.817545+00,jesshuan,2023-10-04 14:31:07.337775+00,65,equiprobable,10000,9135
66,2023-10-07 16:10:38.245695+00,jesshuan,2023-10-04 14:31:07.337775+00,66,equiprobable,10000,9113
67,2023-10-07 17:13:56.51514+00,jesshuan,2023-10-04 14:31:07.337775+00,67,equiprobable,10000,9135
68,2023-10-07 18:17:09.277997+00,jesshuan,2023-10-04 14:31:07.337775+00,68,equiprobable,10000,9100
69,2023-10-07 19:25:34.664455+00,jesshuan,2023-10-04 14:31:07.337775+00,69,equiprobable,10000,9173
70,2023-10-07 20:31:02.373197+00,jesshuan,2023-10-04 14:31:07.337775+00,70,equiprobable,10000,9129
71,2023-10-07 21:34:11.539352+00,jesshuan,2023-10-04 14:31:07.337775+00,71,equiprobable,10000,9126
72,2023-10-07 22:41:52.563394+00,jesshuan,2023-10-04 14:31:07.337775+00,72,equiprobable,10000,9148
73,2023-10-07 23:45:45.046959+00,jesshuan,2023-10-04 14:31:07.337775+00,73,equiprobable,10000,9179
74,2023-10-08 00:47:28.850637+00,jesshuan,2023-10-04 14:31:07.337775+00,74,equiprobable,10000,9082
75,2023-10-08 01:49:28.352806+00,jesshuan,2023-10-04 14:31:07.337775+00,75,equiprobable,10000,9117
76,2023-10-08 02:51:12.831824+00,jesshuan,2023-10-04 14:31:07.337775+00,76,equiprobable,10000,9157
77,2023-10-08 03:52:52.39703+00,jesshuan,2023-10-04 14:31:07.337775+00,77,equiprobable,10000,9154
78,2023-10-08 04:54:03.19973+00,jesshuan,2023-10-04 14:31:07.337775+00,78,equiprobable,10000,9141
79,2023-10-08 05:58:01.110916+00,jesshuan,2023-10-04 14:31:07.337775+00,79,equiprobable,10000,9122
80,2023-10-08 06:59:12.536798+00,jesshuan,2023-10-04 14:31:07.337775+00,80,equiprobable,10000,9161
81,2023-10-08 08:00:17.771831+00,jesshuan,2023-10-04 14:31:07.337775+00,81,equiprobable,10000,9141
82,2023-10-08 09:01:38.088891+00,jesshuan,2023-10-04 14:31:07.337775+00,82,equiprobable,10000,9152
83,2023-10-08 10:10:15.860653+00,jesshuan,2023-10-04 14:31:07.337775+00,83,equiprobable,10000,9056
84,2023-10-08 11:21:37.439764+00,jesshuan,2023-10-04 14:31:07.337775+00,84,equiprobable,10000,9169
85,2023-10-08 12:26:27.218998+00,jesshuan,2023-10-04 14:31:07.337775+00,85,equiprobable,10000,9146
86,2023-10-08 13:35:24.964143+00,jesshuan,2023-10-04 14:31:07.337775+00,86,equiprobable,10000,9196
87,2023-10-08 14:42:05.636581+00,jesshuan,2023-10-04 14:31:07.337775+00,87,equiprobable,10000,9161
88,2023-10-08 15:49:25.354305+00,jesshuan,2023-10-04 14:31:07.337775+00,88,equiprobable,10000,9193
89,2023-10-08 17:01:23.46604+00,jesshuan,2023-10-04 14:31:07.337775+00,89,equiprobable,10000,9123
90,2023-10-08 18:13:30.796318+00,jesshuan,2023-10-04 14:31:07.337775+00,90,equiprobable,10000,9227
91,2023-10-08 19:27:44.858604+00,jesshuan,2023-10-04 14:31:07.337775+00,91,equiprobable,10000,9162
92,2023-10-08 20:32:17.528493+00,jesshuan,2023-10-04 14:31:07.337775+00,92,equiprobable,10000,9133
93,2023-10-08 21:36:27.209292+00,jesshuan,2023-10-04 14:31:07.337775+00,93,equiprobable,10000,9117
94,2023-10-08 22:46:14.076253+00,jesshuan,2023-10-04 14:31:07.337775+00,94,equiprobable,10000,9178
95,2023-10-08 23:51:27.273995+00,jesshuan,2023-10-04 14:31:07.337775+00,95,equiprobable,10000,9133
96,2023-10-09 00:59:11.037358+00,jesshuan,2023-10-04 14:31:07.337775+00,96,equiprobable,10000,9135
97,2023-10-09 02:06:14.727461+00,jesshuan,2023-10-04 14:31:07.337775+00,97,equiprobable,10000,9135
98,2023-10-09 03:12:46.872273+00,jesshuan,2023-10-04 14:31:07.337775+00,98,equiprobable,10000,9160
99,2023-10-09 04:23:31.843864+00,jesshuan,2023-10-04 14:31:07.337775+00,99,equiprobable,10000,9122
100,2023-10-09 05:31:50.423382+00,jesshuan,2023-10-04 14:31:07.337775+00,100,equiprobable,10000,9144
