id,upsert_date,contributor,algo_start_date,batch_nb,mode,init_batch_size,update_batch_size
57,2023-10-17 02:48:18.020581+00,jesshuan,2023-10-16 20:20:35.237022+00,57,weighted,10000,9099
58,2023-10-17 02:54:57.675039+00,jesshuan,2023-10-16 20:20:35.237022+00,58,weighted,10000,9166
59,2023-10-17 07:08:35.3755+00,jesshuan,2023-10-16 20:20:35.237022+00,59,weighted,10000,9114
60,2023-10-17 08:13:28.829846+00,jesshuan,2023-10-16 20:20:35.237022+00,60,weighted,10000,9110
61,2023-10-17 09:18:42.777756+00,jesshuan,2023-10-16 20:20:35.237022+00,61,weighted,10000,9133
62,2023-10-17 10:23:46.234577+00,jesshuan,2023-10-16 20:20:35.237022+00,62,weighted,10000,9116
63,2023-10-17 11:27:21.245117+00,jesshuan,2023-10-16 20:20:35.237022+00,63,weighted,10000,9094
64,2023-10-17 12:32:44.862282+00,jesshuan,2023-10-16 20:20:35.237022+00,64,weighted,10000,9148
65,2023-10-17 13:40:16.564381+00,jesshuan,2023-10-16 20:20:35.237022+00,65,weighted,10000,9111
66,2023-10-17 14:44:35.204715+00,jesshuan,2023-10-16 20:20:35.237022+00,66,weighted,10000,9136
67,2023-10-17 15:59:35.147443+00,jesshuan,2023-10-16 20:20:35.237022+00,67,weighted,10000,9105
68,2023-10-17 17:10:44.32103+00,jesshuan,2023-10-16 20:20:35.237022+00,68,weighted,10000,9081
69,2023-10-17 18:13:38.04339+00,jesshuan,2023-10-16 20:20:35.237022+00,69,weighted,10000,9134
70,2023-10-17 19:17:19.231492+00,jesshuan,2023-10-16 20:20:35.237022+00,70,weighted,10000,9163
71,2023-10-17 20:21:00.630926+00,jesshuan,2023-10-16 20:20:35.237022+00,71,weighted,10000,9097
72,2023-10-17 21:25:36.493159+00,jesshuan,2023-10-16 20:20:35.237022+00,72,weighted,10000,9094
73,2023-10-17 22:29:29.357215+00,jesshuan,2023-10-16 20:20:35.237022+00,73,weighted,10000,9156
74,2023-10-17 23:32:22.115762+00,jesshuan,2023-10-16 20:20:35.237022+00,74,weighted,10000,9077
75,2023-10-18 00:35:38.966568+00,jesshuan,2023-10-16 20:20:35.237022+00,75,weighted,10000,9125
76,2023-10-18 01:39:06.206558+00,jesshuan,2023-10-16 20:20:35.237022+00,76,weighted,10000,9100
77,2023-10-18 02:53:14.868411+00,jesshuan,2023-10-16 20:20:35.237022+00,77,weighted,10000,9137
78,2023-10-18 03:58:09.966183+00,jesshuan,2023-10-16 20:20:35.237022+00,78,weighted,10000,9166
79,2023-10-18 05:01:21.660936+00,jesshuan,2023-10-16 20:20:35.237022+00,79,weighted,10000,9058
80,2023-10-18 06:05:20.425844+00,jesshuan,2023-10-16 20:20:35.237022+00,80,weighted,10000,9087
81,2023-10-18 07:10:22.287669+00,jesshuan,2023-10-16 20:20:35.237022+00,81,weighted,10000,9157
82,2023-10-18 08:14:55.153707+00,jesshuan,2023-10-16 20:20:35.237022+00,82,weighted,10000,9133
83,2023-10-18 09:19:39.397586+00,jesshuan,2023-10-16 20:20:35.237022+00,83,weighted,10000,9134
84,2023-10-18 10:24:44.375243+00,jesshuan,2023-10-16 20:20:35.237022+00,84,weighted,10000,9108
85,2023-10-18 11:28:48.367935+00,jesshuan,2023-10-16 20:20:35.237022+00,85,weighted,10000,9163
86,2023-10-18 12:33:17.369328+00,jesshuan,2023-10-16 20:20:35.237022+00,86,weighted,10000,9136
87,2023-10-18 13:47:02.63988+00,jesshuan,2023-10-16 20:20:35.237022+00,87,weighted,10000,9137
88,2023-10-18 14:52:41.965955+00,jesshuan,2023-10-16 20:20:35.237022+00,88,weighted,10000,9147
89,2023-10-18 15:56:53.680378+00,jesshuan,2023-10-16 20:20:35.237022+00,89,weighted,10000,9091
90,2023-10-18 17:01:17.712542+00,jesshuan,2023-10-16 20:20:35.237022+00,90,weighted,10000,9117
91,2023-10-18 18:04:52.020642+00,jesshuan,2023-10-16 20:20:35.237022+00,91,weighted,10000,9118
92,2023-10-18 19:09:59.871083+00,jesshuan,2023-10-16 20:20:35.237022+00,92,weighted,10000,9106
93,2023-10-18 20:13:11.238661+00,jesshuan,2023-10-16 20:20:35.237022+00,93,weighted,10000,9115
94,2023-10-18 21:17:25.75642+00,jesshuan,2023-10-16 20:20:35.237022+00,94,weighted,10000,9127
95,2023-10-18 22:21:26.9035+00,jesshuan,2023-10-16 20:20:35.237022+00,95,weighted,10000,9111
96,2023-10-18 23:25:10.017462+00,jesshuan,2023-10-16 20:20:35.237022+00,96,weighted,10000,9094
97,2023-10-19 00:37:37.302495+00,jesshuan,2023-10-16 20:20:35.237022+00,97,weighted,10000,9165
98,2023-10-19 01:41:10.971469+00,jesshuan,2023-10-16 20:20:35.237022+00,98,weighted,10000,9109
99,2023-10-19 02:45:09.244288+00,jesshuan,2023-10-16 20:20:35.237022+00,99,weighted,10000,9100
100,2023-10-19 03:48:52.530165+00,jesshuan,2023-10-16 20:20:35.237022+00,100,weighted,10000,9132
101,2023-10-19 04:52:42.338297+00,jesshuan,2023-10-16 20:20:35.237022+00,101,weighted,10000,9128
102,2023-10-19 05:56:30.296+00,jesshuan,2023-10-16 20:20:35.237022+00,102,weighted,10000,9145
