fabricant;modele;annee;prix;puissance_cumul;couple_cumul;0_100_km_h;vitesse_max;position_moteur_1;puissance_moteur_1;type_moteur_1;couple_moteur_1;position_moteur_2;puissance_moteur_2;type_moteur_2;couple_moteur_2;position_moteur_3;puissance_moteur_3;type_moteur_3;couple_moteur_3;capacite_nominale_brute;capacite_utile_nette;prise_de_charge_AC;prise_de_charge_DC;vitesse_de_charge_AC;vitesse_de_charge_DC;refroidissement;;temps_de_charge_DC_0-80%;temps_de_charge_AC_0-80%_prise_dom;temps_de_charge_AC_0-80%_prise_dom_renforcee;temps_de_charge_AC_0-80%_wallbox;autonomie_electrique_mixte;conso_electrique;pompe_a_chaleur;;motricite;rapports;longueur;empattement;hauteur;largeur;coffre;poids;coffre_avant_arriere;;essieu_avant;essieu_arriere;base_chassis;plateforme;pneus;pneus_arriere
Renault;Zoe;2016;24200 €;88 ch;220 Nm;13.2 secondes;135 km/h;Avant;88 ch;A excitation (synchrone);220 Nm;;;;;;;;;41 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;Non;43 kW;0 kW;Air;;;;;;300 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.084 m;2.588 m;1.562 m;1.73 m;338 Litres;1480 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/45 R 17;
Renault;Zoe;2016;23200 €;92 ch;220 Nm;13.2 secondes;135 km/h;Avant;92 ch;A excitation (synchrone);220 Nm;;;;;;;;;41 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;Non;22 kW;0 kW;Air;;;;;;317 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.084 m;2.588 m;1.562 m;1.73 m;338 Litres;1480 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/45 R 17;
Renault;Zoe;2016;26800 €;108 ch;225 Nm;11.4 secondes;135 km/h;Avant;108 ch;A excitation (synchrone);225 Nm;;;;;;;;;41 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;Non;22 kW;0 kW;Air;;;;;;300 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.084 m;2.588 m;1.562 m;1.73 m;338 Litres;1500 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/45 R 17;
Seat;Mii;2019;21920 €;83 ch;212 Nm;12.3 secondes;130 km/h;Avant;83 ch;Aimant permanent (synchrone);212 Nm;;;;;;;;;32.3 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;7.4 kW;50 kW;Air;;35 min. à 50 kW;11h16 à 2.3 kW;8h38 à 3 kW;3h30 à 7.4 kW;258 km;14.5 kWh/100km;Non;;Traction;1;3.557 m;2.42 m;1.478 m;1.645 m;251 Litres;1235 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";165/65 R 15;
Smart;Fortwo;2018;27350 €;82 ch;160 Nm;11.5 secondes;130 km/h;Arrière;"<i style=""color:#A5A5A5"">NC</i>";Aimant permanent (synchrone);"<i style=""color:#A5A5A5"">NC</i>";;;;;;;;;17.6 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;Non;3.7 kW;22 kW;0 kW;Air;;;;;135 km;16.1 kWh/100km;Non;;Propulsion;0;2.7 m;1.87 m;1.56 m;1.66 m;260 Litres;1160 kg;;;Macpherson;De Dion;Thermique;"<i style=""color:#A5A5A5"">NC</i>";165/65 R 15;185/60 R 15
Volkswagen;E-Up!;2013;27860 €;82 ch;210 Nm;12.4 secondes;130 km/h;Avant;82 ch;Aimant permanent (synchrone);210 Nm;;;;;;;;;18.7 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;3.6 kW;50 kW;Air;;21 min. à 50 kW;6h41 à 2.3 kW;5h08 à 3 kW;4h17 à 3.6 kW;160 km;"<i style=""color:#A5A5A5"">NC</i>";Non;;Traction;1;3.54 m;2.42 m;1.477 m;1.645 m;250 Litres;1214 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";165/65 R 15;
Volkswagen;E-Up!;2019;23440 €;83 ch;212 Nm;11.9 secondes;130 km/h;Avant;83 ch;Aimant permanent (synchrone);212 Nm;;;;;;;;;32.3 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;7.4 kW;40 kW;Air;;41 min. à 40 kW;11h16 à 2.3 kW;8h38 à 3 kW;3h30 à 7.4 kW;258 km;14.5 kWh/100km;Non;;Traction;1;3.6 m;2.417 m;1.507 m;1.645 m;251 Litres;1235 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";165/65 R 15;
Aiways;U5;2021;39300 €;204 ch;310 Nm;7.8 secondes;160 km/h;Avant;204 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;63 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;6.6 kW;90 kW;Liquide;;38 min. à 90 kW;22h11 à 2.3 kW;17h01 à 3 kW;7h44 à 6.6 kW;410 km;16.8 kWh/100km;Non;;Traction;1;4.68 m;2.8 m;1.7 m;1.865 m;472 Litres;1795 kg;40/432 Litres;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";235/50 R 19;
BMW;i3;2013;35490 €;170 ch;250 Nm;7.2 secondes;150 km/h;Arrière;170 ch;Aimant permanent (synchrone);250 Nm;;;;;;;;;22.2 kWh;18.8 kWh;Type 2;CCS Combo;7.4 kW;50 kW;Liquide;;29 min. à 50 kW;7h45 à 2.3 kW;5h56 à 3 kW;2h24 à 7.4 kW;190 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;Propulsion;1;3.999 m;2.57 m;1.578 m;1.775 m;260 Litres;1345 kg;;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";175/60 R19 (Ar);
BMW;i3;2017;38736 €;170 ch;250 Nm;7.3 secondes;150 km/h;Arrière;170 ch;Aimant permanent (synchrone);250 Nm;;;;;;;;;33 kWh;27.2 kWh;Type 2;CCS Combo;7.4 kW;50 kW;Liquide;;42 min. à 50 kW;11h37 à 2.3 kW;8h55 à 3 kW;3h37 à 7.4 kW;260 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;Propulsion;1;4.006 m;2.57 m;1.6 m;1.775 m;260 Litres;1345 kg;;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";175/60 R19 (Ar);
BMW;i3;2019;39950 €;170 ch;250 Nm;7.3 secondes;150 km/h;Arrière;170 ch;Aimant permanent (synchrone);250 Nm;;;;;;;;;42.2 kWh;37.9 kWh;Type 2;CCS Combo;7.4 kW;50 kW;Liquide;;52 min. à 50 kW;14h47 à 2.3 kW;11h20 à 3 kW;4h36 à 7.4 kW;305 km;15.4 kWh/100km;Non;;Propulsion;1;4.011 m;2.57 m;1.577 m;1.775 m;260 Litres;1345 kg;;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";175/60 R19 (Ar);
Citroen;E-Berlingo;2021;35300 €;136 ch;260 Nm;11.2 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;280 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.403 m;2.785 m;1.874 m;1.848 m;597 Litres;1738 kg;;;Macpherson;Semi-rigide;Thermique;E-CMP;205/60 R 16;
Citroen;E-Berlingo;2021;39150 €;136 ch;260 Nm;11.2 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;274 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.753 m;2.975 m;1.874 m;1.848 m;850 Litres;1817 kg;;;Macpherson;Semi-rigide;Thermique;E-CMP;205/60 R 16;
Citroen;Ë-C4;2020;34800 €;136 ch;260 Nm;9.4 secondes;150 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;350 km;15.9 kWh/100km;En option;;Traction;1;4.36 m;2.67 m;1.525 m;1.8 m;380 Litres;1616 kg;;;Macpherson;Semi-rigide + Panhard;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/65 R 16;
DS;DS3;2020;39200 €;136 ch;260 Nm;8.7 secondes;150 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;320 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.118 m;2.558 m;1.534 m;1.77 m;350 Litres;1600 kg;;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;215/60 R 17;
Honda;Honda-e;2019;35000 €;136 ch;315 Nm;9 secondes;145 km/h;Arrière;136 ch;Aimant permanent (synchrone);315 Nm;;;;;;;;;35.5 kWh;28.5 kWh;Type 2;CCS Combo;6.6 kW;50 kW;Liquide;;40 min. à 50 kW;12h41 à 2.3 kW;9h43 à 3 kW;4h25 à 6.6 kW;222 km;17.2 kWh/100km;Non;;Propulsion;1;3.894 m;2.538 m;1.512 m;1.752 m;171 Litres;1513 kg;;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";185/60 R 16;205/55 R 16
Honda;Honda-e;2019;38000 €;154 ch;315 Nm;8.3 secondes;145 km/h;Arrière;154 ch;Aimant permanent (synchrone);315 Nm;;;;;;;;;35.5 kWh;28.5 kWh;Type 2;CCS Combo;6.6 kW;50 kW;Liquide;;40 min. à 50 kW;12h41 à 2.3 kW;9h43 à 3 kW;4h25 à 6.6 kW;210 km;17.8 kWh/100km;Non;;Propulsion;1;3.894 m;2.538 m;1.512 m;1.752 m;171 Litres;1520 kg;;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";185/60 R 16;205/55 R 16
Hyundai;Ioniq;2016;35850 €;120 ch;295 Nm;9.9 secondes;165 km/h;Avant;120 ch;Aimant permanent (synchrone);295 Nm;;;;;;;;;31 kWh;28 kWh;Type 2;CCS Combo;6.6 kW;70 kW;Air;;29 min. à 70 kW;10h55 à 2.3 kW;8h22 à 3 kW;3h48 à 6.6 kW;280 km;11.5 kWh/100km;Oui;;Traction;1;4.47 m;2.7 m;1.445 m;1.72 m;350 Litres;1495 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/55 R 16;
