fabricant;modele;annee;prix;puissance_cumul;couple_cumul;0_100_km_h;vitesse_max;position_moteur_1;puissance_moteur_1;type_moteur_1;couple_moteur_1;position_moteur_2;puissance_moteur_2;type_moteur_2;couple_moteur_2;position_moteur_3;puissance_moteur_3;type_moteur_3;couple_moteur_3;capacite_nominale_brute;capacite_utile_nette;prise_de_charge_AC;prise_de_charge_DC;vitesse_de_charge_AC;vitesse_de_charge_DC;refroidissement;;temps_de_charge_DC_0-80%;temps_de_charge_AC_0-80%_prise_dom;temps_de_charge_AC_0-80%_prise_dom_renforcee;temps_de_charge_AC_0-80%_wallbox;autonomie_electrique_mixte;conso_electrique;pompe_a_chaleur;;motricite;rapports;longueur;empattement;hauteur;largeur;coffre;poids;coffre_avant_arriere;;essieu_avant;essieu_arriere;base_chassis;plateforme;pneus;pneus_arriere
Nissan;Leaf;2013;31320 €;109 ch;254 Nm;11.5 secondes;144 km/h;Avant;109 ch;A excitation (synchrone);254 Nm;;;;;;;;;30 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;Chademo;6.6 kW;50 kW;Air;;33 min. à 50 kW;10h34 à 2.3 kW;8h06 à 3 kW;3h41 à 6.6 kW;250 km;15 kWh/100km;Oui;;Traction;1;4.445 m;2.7 m;1.55 m;1.77 m;370 Litres;1525 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/55 R 16;
Nissan;Leaf;2017;35400 €;150 ch;320 Nm;7.9 secondes;144 km/h;Avant;150 ch;Aimant permanent (synchrone);320 Nm;;;;;;;;;40 kWh;37.5 kWh;Type 2;Chademo;6.6 kW;50 kW;Air;;50 min. à 50 kW;14h05 à 2.3 kW;10h48 à 3 kW;4h55 à 6.6 kW;270 km;20.6 kWh/100km;Oui;;Traction;1;4.49 m;2.7 m;1.54 m;1.788 m;435 Litres;1580 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/55 R 16;
Opel;Corsa-e;2019;31600 €;136 ch;260 Nm;8.1 secondes;150 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;322 km;17 kWh/100km;Oui;;Traction;1;4.06 m;2.538 m;1.433 m;1.75 m;309 Litres;1530 kg;;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;185/65 R 16;
Opel;Mokka-e;2019;36900 €;136 ch;260 Nm;9.1 secondes;150 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;342 km;17.4 kWh/100km;Oui;;Traction;1;4.151 m;2.557 m;1.532 m;1.77 m;392 Litres;1598 kg;;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;215/65 R 16;
Peugeot;e-2008;2019;37850 €;136 ch;260 Nm;9 secondes;150 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;320 km;17.2 kWh/100km;Oui;;Traction;1;4.3 m;2.605 m;1.55 m;1.77 m;405 Litres;1548 kg;;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;215/65 R 16;
Peugeot;e-208;2019;32700 €;136 ch;260 Nm;8.3 secondes;150 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;340 km;16.4 kWh/100km;Oui;;Traction;1;4.055 m;2.54 m;1.43 m;1.745 m;309 Litres;1530 kg;;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;195/55 R 16;
Peugeot;e-208;2023;34800 €;156 ch;260 Nm;8.2 secondes;150 km/h;Avant;156 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;51 kWh;48.1 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h58 à 2.3 kW;13h46 à 3 kW;5h35 à 7.4 kW;398 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.055 m;2.54 m;1.43 m;1.745 m;309 Litres;1530 kg;;;Macpherson;Semi-rigide + Panhard;Thermique;E-CMP;195/55 R 16;
Peugeot;E-Rifter;2021;36400 €;136 ch;260 Nm;11.2 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;282 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.403 m;2.785 m;1.874 m;1.848 m;597 Litres;1743 kg;;;Macpherson;Semi-rigide;Thermique;E-CMP;215/65 R 16;
Renault;Megane;2022;35200 €;130 ch;250 Nm;10 secondes;150 km/h;Avant;130 ch;A excitation (synchrone);250 Nm;;;;;;;;;42 kWh;40 kWh;Type 2;CCS Combo;7.4 kW;22 kW;0 kW;85 kW;41 min. à 85 kW;14h47 à 2.3 kW;11h20 à 3 kW;4h36 à 7.4 kW;300 km;15.8 kWh/100km;En option;;Traction;1;4.2 m;2.685 m;1.505 m;1.768 m;440 Litres;1513 kg;;;Macpherson;Multibras;Thermique;CMF-EV ;195/60 R 18;
Renault;Zoe;2019;32000 €;108 ch;225 Nm;11.4 secondes;135 km/h;Avant;108 ch;A excitation (synchrone);225 Nm;;;;;;;;;52 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;22 kW;0 kW;50 kW;Air;53 min. à 50 kW;18h19 à 2.3 kW;14h02 à 3 kW;1h55 à 22 kW;395 km;17.2 kWh/100km;Oui;;Traction;1;4.087 m;2.588 m;1.562 m;1.787 m;338 Litres;1502 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";185/65 R 15;
Renault;Zoe;2019;34600 €;135 ch;245 Nm;9.5 secondes;140 km/h;Avant;135 ch;A excitation (synchrone);245 Nm;;;;;;;;;52 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;22 kW;0 kW;50 kW;Air;53 min. à 50 kW;18h19 à 2.3 kW;14h02 à 3 kW;1h55 à 22 kW;386 km;17.7 kWh/100km;Oui;;Traction;1;4.087 m;2.588 m;1.562 m;1.787 m;338 Litres;1502 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";195/55 R 16;
Skoda;Enyaq;2021;37930 €;150 ch;310 Nm;11.3 secondes;160 km/h;Arrière;150 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;55 kWh;52 kWh;Type 2;CCS Combo;7.2 kW;110 kW;Liquide;;33 min. à 110 kW;19h22 à 2.3 kW;14h51 à 3 kW;6h11 à 7.2 kW;362 km;15.2 kWh/100km;Non;;Propulsion;1;4.649 m;2.765 m;1.616 m;1.879 m;585 Litres;1862 kg;;;Macpherson;Multibras;Electrique;MEB;235/60 R 18;
Volkswagen;E-Golf;2014;30490 €;115 ch;270 Nm;10.4 secondes;140 km/h;Avant;115 ch;Aimant permanent (synchrone);270 Nm;;;;;;;;;24.2 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;3.6 kW;40 kW;Air;;33 min. à 40 kW;8h27 à 2.3 kW;6h29 à 3 kW;5h24 à 3.6 kW;190 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;Traction;1;4.27 m;2.63 m;1.45 m;1.8 m;341 Litres;1510 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/55 R 16;
Volkswagen;E-Golf;2014;39400 €;136 ch;290 Nm;9.6 secondes;150 km/h;Avant;136 ch;Aimant permanent (synchrone);290 Nm;;;;;;;;;32 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;7.4 kW;40 kW;Air;;41 min. à 40 kW;11h16 à 2.3 kW;8h38 à 3 kW;3h30 à 7.4 kW;230 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;Traction;1;4.27 m;2.63 m;1.45 m;1.8 m;341 Litres;1540 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/55 R 16;
Volkswagen;ID3;2022;34300 €;150 ch;310 Nm;8.9 secondes;160 km/h;Arrière;150 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;49 kWh;45 kWh;Type 2;CCS Combo;7.2 kW;50 kW;110 kW;Liquide;61 min. à 50 kW;17h15 à 2.3 kW;13h14 à 3 kW;5h31 à 7.2 kW;350 km;14.9 kWh/100km;En option;;Propulsion;1;4.261 m;2.77 m;1.568 m;1.809 m;385 Litres;1706 kg;;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Volkswagen;ID3;2020;39300 €;145 ch;275 Nm;9.6 secondes;160 km/h;Arrière;145 ch;Aimant permanent (synchrone);275 Nm;;;;;;;;;62 kWh;58 kWh;Type 2;CCS Combo;11 kW;120 kW;Liquide;;34 min. à 120 kW;21h50 à 2.3 kW;16h44 à 3 kW;4h34 à 11 kW;417 km;15.5 kWh/100km;En option;;Propulsion;1;4.261 m;2.77 m;1.568 m;1.809 m;385 Litres;1812 kg;;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Audi;Q4;2021;42800 €;170 ch;310 Nm;9 secondes;160 km/h;Arrière;170 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;55 kWh;52 kWh;Type 2;CCS Combo;7.4 kW;110 kW;Liquide;;33 min. à 110 kW;19h22 à 2.3 kW;14h51 à 3 kW;6h01 à 7.4 kW;336 km;17.3 kWh/100km;En option;;Propulsion;1;4.588 m;2.764 m;1.632 m;1.865 m;535 Litres;1965 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Audi;Q4;2021;48700 €;204 ch;310 Nm;8.5 secondes;160 km/h;Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;125 kW;Liquide;;41 min. à 125 kW / 42 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;513 km;17.6 kWh/100km;En option;;Propulsion;1;4.588 m;2.764 m;1.632 m;1.865 m;535 Litres;1965 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Audi;Q4;2021;44800 €;170 ch;310 Nm;9 secondes;160 km/h;Arrière;170 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;55 kWh;52 kWh;Type 2;CCS Combo;7.4 kW;110 kW;Liquide;;33 min. à 110 kW;19h22 à 2.3 kW;14h51 à 3 kW;6h01 à 7.4 kW;341 km;17 kWh/100km;En option;;Propulsion;1;4.588 m;2.764 m;1.614 m;1.865 m;535 Litres;1970 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
BMW;i3;2017;42336 €;184 ch;270 Nm;6.9 secondes;160 km/h;Arrière;184 ch;Aimant permanent (synchrone);270 Nm;;;;;;;;;33 kWh;27.2 kWh;Type 2;CCS Combo;7.4 kW;50 kW;Liquide;;42 min. à 50 kW;11h37 à 2.3 kW;8h55 à 3 kW;3h37 à 7.4 kW;240 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;Propulsion;1;4.006 m;2.57 m;1.59 m;1.775 m;260 Litres;1365 kg;;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";195/50 R20 (Ar);
BMW;i3;2019;42500 €;184 ch;270 Nm;6.9 secondes;160 km/h;Arrière;184 ch;Aimant permanent (synchrone);270 Nm;;;;;;;;;42.2 kWh;37.9 kWh;Type 2;CCS Combo;7.4 kW;50 kW;Liquide;;52 min. à 50 kW;14h47 à 2.3 kW;11h20 à 3 kW;4h36 à 7.4 kW;283 km;16.2 kWh/100km;En option;;Propulsion;1;4.011 m;2.57 m;1.577 m;1.775 m;260 Litres;1365 kg;;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";195/50 R20 (Ar);
Cupra;Born;2022;42700 €;204 ch;310 Nm;7.3 secondes;160 km/h;Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;62 kWh;58 kWh;Type 2;CCS Combo;11 kW;120 kW;Liquide;;34 min. à 120 kW;21h50 à 2.3 kW;16h44 à 3 kW;4h34 à 11 kW;424 km;15.5 kWh/100km;En option;;Propulsion;1;4.322 m;2.766 m;1.54 m;1.809 m;385 Litres;1736 kg;;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Cupra;Born;2022;43990 €;231 ch;310 Nm;6.6 secondes;160 km/h;Arrière;231 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;62 kWh;58 kWh;Type 2;CCS Combo;11 kW;120 kW;Liquide;;34 min. à 120 kW;21h50 à 2.3 kW;16h44 à 3 kW;4h34 à 11 kW;417 km;16 kWh/100km;En option;;Propulsion;1;4.322 m;2.766 m;1.54 m;1.809 m;385 Litres;1749 kg;;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Ford;Mustang;2020;48990 €;269 ch;430 Nm;6.9 secondes;180 km/h;Arrière;269 ch;Aimant permanent (synchrone);430 Nm;;;;;;;;;75.7 kWh;68 kWh;Type 2;CCS Combo;11 kW;115 kW;Liquide;;33 min. à 115 kW;26h46 à 2.3 kW;20h31 à 3 kW;5h36 à 11 kW;440 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;Propulsion;1;4.713 m;2.98 m;1.597 m;1.881 m;600 Litres;1969 kg;81/519 Litres;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";225/60 R 18;
Hyundai;Ioniq;2021;43600 €;170 ch;350 Nm;8.5 secondes;185 km/h;Arrière;170 ch;Aimant permanent (synchrone);350 Nm;;;;;;;;;58 kWh;54 kWh;Type 2;CCS Combo;11 kW;175 kW;Liquide;;35 min. à 175 kW / 37 min. à 120 kW;20h26 à 2.3 kW;15h40 à 3 kW;4h16 à 11 kW;384 km;16.7 kWh/100km;En option;;Propulsion;1;4.635 m;3 m;1.647 m;1.89 m;584 Litres;1905 kg;57/527 Litres;;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Hyundai;Ioniq;2021;46800 €;218 ch;350 Nm;7.4 secondes;185 km/h;Arrière;218 ch;Aimant permanent (synchrone);350 Nm;;;;;;;;;72.6 kWh;70 kWh;Type 2;CCS Combo;11 kW;233 kW;Liquide;;33 min. à 233 kW / 39 min. à 120 kW;25h43 à 2.3 kW;19h43 à 3 kW;5h23 à 11 kW;481 km;16.8 kWh/100km;En option;;Propulsion;1;4.635 m;3 m;1.647 m;1.89 m;584 Litres;1985 kg;57/527 Litres;;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Hyundai;Ioniq;2022;49700 €;229 ch;350 Nm;7.3 secondes;185 km/h;Arrière;229 ch;Aimant permanent (synchrone);350 Nm;;;;;;;;;77.4 kWh;72.6 kWh;Type 2;CCS Combo;11 kW;233 kW;Liquide;;25 min. à 233 kW / 34 min. à 120 kW;27h07 à 2.3 kW;20h47 à 3 kW;5h40 à 11 kW;507 km;16.8 kWh/100km;En option;;Propulsion;1;4.635 m;3 m;1.647 m;1.89 m;584 Litres;2090 kg;57/527 Litres;;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Hyundai;Kona;2018;43900 €;204 ch;395 Nm;7.6 secondes;167 km/h;Avant;204 ch;Aimant permanent (synchrone);395 Nm;;;;;;;;;67 kWh;64 kWh;Type 2;CCS Combo;7.2 kW;77 kW;Liquide;;54 min. à 77 kW;23h36 à 2.3 kW;18h05 à 3 kW;7h32 à 7.2 kW;449 km;15.4 kWh/100km;Oui;;Traction;1;4.18 m;2.6 m;1.57 m;1.8 m;332 Litres;1760 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
Kia;E-Niro;2018;41100 €;204 ch;395 Nm;7.8 secondes;167 km/h;Avant;204 ch;Aimant permanent (synchrone);395 Nm;;;;;;;;;67 kWh;64 kWh;Type 2;CCS Combo;7.2 kW;11 kW;77 kW;Liquide;54 min. à 77 kW;23h36 à 2.3 kW;18h05 à 3 kW;7h32 à 7.2 kW;455 km;15.9 kWh/100km;Oui;;Traction;1;4.375 m;2.7 m;1.57 m;1.81 m;451 Litres;1802 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
Kia;E-Soul;2019;41300 €;204 ch;395 Nm;7.9 secondes;167 km/h;Avant;204 ch;Aimant permanent (synchrone);395 Nm;;;;;;;;;67 kWh;64 kWh;Type 2;CCS Combo;7.4 kW;11 kW;77 kW;Liquide;54 min. à 77 kW;23h36 à 2.3 kW;18h05 à 3 kW;7h20 à 7.4 kW;452 km;15.7 kWh/100km;Oui;;Traction;1;4.195 m;2.6 m;1.605 m;1.8 m;224 Litres;1758 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
Kia;EV6;2021;43990 €;170 ch;350 Nm;8.5 secondes;185 km/h;Arrière;170 ch;Aimant permanent (synchrone);350 Nm;;;;;;;;;58 kWh;54 kWh;Type 2;CCS Combo;11 kW;175 kW;Liquide;;35 min. à 175 kW / 37 min. à 120 kW;20h26 à 2.3 kW;15h40 à 3 kW;4h16 à 11 kW;394 km;16.6 kWh/100km;Non;;Propulsion;1;4.68 m;2.9 m;1.55 m;1.88 m;542 Litres;1860 kg;52/490 Litres;;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Kia;EV6;2021;48690 €;229 ch;350 Nm;7.5 secondes;185 km/h;Arrière;229 ch;Aimant permanent (synchrone);350 Nm;;;;;;;;;77.4 kWh;72.5 kWh;Type 2;CCS Combo;11 kW;233 kW;Liquide;;25 min. à 233 kW / 34 min. à 120 kW;27h07 à 2.3 kW;20h47 à 3 kW;5h40 à 11 kW;528 km;16.6 kWh/100km;Non;;Propulsion;1;4.68 m;2.9 m;1.55 m;1.88 m;542 Litres;1985 kg;52/490 Litres;;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Kia;Niro;2022;44490 €;204 ch;255 Nm;7.8 secondes;167 km/h;Avant;204 ch;Aimant permanent (synchrone);255 Nm;;;;;;;;;68 kWh;64.8 kWh;Type 2;CCS Combo;11 kW;72 kW;Liquide;;59 min. à 72 kW;23h57 à 2.3 kW;18h22 à 3 kW;5h00 à 11 kW;463 km;16.2 kWh/100km;En option;;Traction;1;4.42 m;2.72 m;1.57 m;1.825 m;495 Litres;1757 kg;20/475 Litres;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/55 R 17;
Lexus;UX;2020;49990 €;204 ch;300 Nm;7.5 secondes;160 km/h;Avant;204 ch;Aimant permanent (synchrone);300 Nm;;;;;;;;;54.3 kWh;"<i style=""color:#A5A5A5"">NC</i>";Type 2;CCS Combo;6.6 kW;50 kW;Air;;55 min. à 50 kW;19h01 à 2.3 kW;14h35 à 3 kW;6h38 à 6.6 kW;313 km;16.9 kWh/100km;Non;;Traction;1;4.495 m;2.64 m;1.545 m;1.84 m;367 Litres;1785 kg;;;Macpherson;Multibras;Thermique;E-TNGA;215/60 R 17;
Mercedes;EQA;2021;49900 €;190 ch;375 Nm;8.9 secondes;160 km/h;Avant;"<i style=""color:#A5A5A5"">NC</i>";A induction (asynchrone);"<i style=""color:#A5A5A5"">NC</i>";;;;;;;;;79.8 kWh;66.5 kWh;Type 2;CCS Combo;11 kW;100 kW;Liquide;;40 min. à 100 kW;28h10 à 2.3 kW;21h36 à 3 kW;5h53 à 11 kW;426 km;17.7 kWh/100km;Oui;;Traction;1;4.463 m;2.729 m;1.62 m;1.834 m;340 Litres;2040 kg;;;Macpherson;Multibras;Thermique;MRA;235/55 R 18;
Nissan;Ariya;2021;46400 €;218 ch;300 Nm;7.5 secondes;160 km/h;Avant;218 ch;A excitation (synchrone);300 Nm;;;;;;;;;65 kWh;63 kWh;Type 2;CCS Combo;7.4 kW;130 kW;Liquide;;41 min. à 130 kW / 42 min. à 120 kW;22h53 à 2.3 kW;17h33 à 3 kW;7h07 à 7.4 kW;403 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;Traction;1;4.595 m;2.775 m;1.65 m;1.85 m;468 Litres;1980 kg;;;Macpherson;Multibras;Thermique;CMF-EV ;235/55 R 19 ;
Nissan;Leaf;2019;43700 €;217 ch;340 Nm;7.3 secondes;157 km/h;Avant;217 ch;Aimant permanent (synchrone);340 Nm;;;;;;;;;62 kWh;56.5 kWh;Type 2;Chademo;6.6 kW;50 kW;Air;;77 min. à 50 kW;21h50 à 2.3 kW;16h44 à 3 kW;7h37 à 6.6 kW;385 km;18.5 kWh/100km;Oui;;Traction;1;4.49 m;2.7 m;1.54 m;1.788 m;435 Litres;1731 kg;;;Macpherson;Semi Rigide;Thermique;"<i style=""color:#A5A5A5"">NC</i>";205/55 R 16;
Peugeot;E-Rifter;2021;40500 €;136 ch;260 Nm;11.2 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;Liquide;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;276 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Traction;1;4.753 m;2.975 m;1.874 m;1.848 m;850 Litres;1822 kg;;;Macpherson;Semi-rigide;Thermique;E-CMP;215/65 R 16;
Renault;Megane;2022;40200 €;220 ch;300 Nm;7.4 secondes;160 km/h;Avant;220 ch;A excitation (synchrone);300 Nm;;;;;;;;;63 kWh;60 kWh;Type 2;CCS Combo;7.4 kW;22 kW;130 kW;Liquide;40 min. à 130 kW / 41 min. à 120 kW;22h11 à 2.3 kW;17h01 à 3 kW;6h54 à 7.4 kW;450 km;16.1 kWh/100km;En option;;Traction;1;4.2 m;2.685 m;1.505 m;1.768 m;440 Litres;1636 kg;;;Macpherson;Multibras;Thermique;CMF-EV ;195/60 R 18;
Skoda;Enyaq;2021;43200 €;180 ch;310 Nm;8.8 secondes;160 km/h;Arrière;180 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;62 kWh;58 kWh;Type 2;CCS Combo;11 kW;120 kW;Liquide;;34 min. à 120 kW;21h50 à 2.3 kW;16h44 à 3 kW;4h34 à 11 kW;412 km;14.6 kWh/100km;En option;;Propulsion;1;4.649 m;2.765 m;1.616 m;1.879 m;585 Litres;1917 kg;;;Macpherson;Multibras;Electrique;MEB;235/60 R 18;
Skoda;Enyaq;2021;49760 €;204 ch;310 Nm;8.7 secondes;160 km/h;Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;135 kW;Liquide;;38 min. à 135 kW / 40 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;534 km;15.2 kWh/100km;En option;;Propulsion;1;4.649 m;2.765 m;1.616 m;1.879 m;585 Litres;2032 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Tesla;Model;2022;49990 €;276 ch;330 Nm;6.9 secondes;217 km/h;Arrière;276 ch;Aimant permanent + réluctance variable (synchrone);330 Nm;;;;;;;;;62 kWh;57.5 kWh;Type 2;CCS Combo;11 kW;170 kW;Liquide;;24 min. à 170 kW / 29 min. à 120 kW;21h50 à 2.3 kW;16h44 à 3 kW;4h34 à 11 kW;455 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Propulsion;1;4.75 m;2.89 m;1.62 m;1.92 m;815 Litres;1984 kg;115/700 Litres;;Double triangle;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";255/45 R 19;
Volkswagen;ID;2022;47990 €;204 ch;310 Nm;10.2 secondes;145 km/h;Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;170 kW;1;;30 min. à 170 kW / 36 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;416 km;20.4 kWh/100km;En option;;Propulsion;1;56990 m;2.989 m;4.712 m;1.985 m;1121 Litres;2368 kg;;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";235/60 R 18 ;255/55 R 18 
Volkswagen;ID3;2020;40900 €;204 ch;310 Nm;7.3 secondes;160 km/h;Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;62 kWh;58 kWh;Type 2;CCS Combo;11 kW;120 kW;Liquide;;34 min. à 120 kW;21h50 à 2.3 kW;16h44 à 3 kW;4h34 à 11 kW;417 km;15.5 kWh/100km;En option;;Propulsion;1;4.261 m;2.77 m;1.568 m;1.809 m;385 Litres;1812 kg;;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Volkswagen;ID3;2020;44600 €;204 ch;310 Nm;7.9 secondes;160 km/h;Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;135 kW;Liquide;;38 min. à 135 kW / 40 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;545 km;15.8 kWh/100km;En option;;Propulsion;1;4.261 m;2.77 m;1.568 m;1.809 m;385 Litres;1928 kg;;;Macpherson;Multibras;Electrique;MEB;215/50 R 19;
Volkswagen;ID4;2020;41500 €;149 ch;310 Nm;10.9 secondes;160 km/h;Arrière;149 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;55 kWh;52 kWh;Type 2;CCS Combo;7.2 kW;50 kW;110 kW;Liquide;69 min. à 50 kW;19h22 à 2.3 kW;14h51 à 3 kW;6h11 à 7.2 kW;342 km;16.9 kWh/100km;En option;;Propulsion;1;4.584 m;2.771 m;1.64 m;1.852 m;543 Litres;1968 kg;;;Macpherson;Multibras;Electrique;MEB;235/60 R 18;
Volkswagen;ID4;2020;43100 €;170 ch;310 Nm;9 secondes;160 km/h;Arrière;170 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;55 kWh;52 kWh;Type 2;CCS Combo;7.2 kW;50 kW;110 kW;Liquide;69 min. à 50 kW;19h22 à 2.3 kW;14h51 à 3 kW;6h11 à 7.2 kW;342 km;16.9 kWh/100km;En option;;Propulsion;1;4.584 m;2.771 m;1.64 m;1.852 m;543 Litres;1965 kg;;;Macpherson;Multibras;Electrique;MEB;235/60 R 18;
Volkswagen;ID4;2020;47800 €;174 ch;310 Nm;8.9 secondes;160 km/h;Arrière;174 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;135 kW;Liquide;;38 min. à 135 kW / 40 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;511 km;17.1 kWh/100km;En option;;Propulsion;1;4.584 m;2.771 m;1.64 m;1.852 m;543 Litres;2109 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
