,date_mise_en_service,nbre_pdc_count,nbre_pdc_sum
85,2009-11-30,1,8
86,2009-12-31,1,8
87,2010-01-31,1,8
88,2010-02-28,1,8
89,2010-03-31,1,8
90,2010-04-30,1,8
91,2010-05-31,1,8
92,2010-06-30,1,8
93,2010-07-31,1,8
94,2010-08-31,1,8
95,2010-09-30,1,8
96,2010-10-31,1,8
97,2010-11-30,1,8
98,2010-12-31,1,8
99,2011-01-31,1,8
100,2011-02-28,1,8
101,2011-03-31,1,8
102,2011-04-30,1,8
103,2011-05-31,1,8
104,2011-06-30,1,8
105,2011-07-31,1,8
106,2011-08-31,1,8
107,2011-09-30,1,8
108,2011-10-31,1,8
109,2011-11-30,1,8
110,2011-12-31,1,8
111,2012-01-31,1,8
112,2012-02-29,1,8
113,2012-03-31,1,8
114,2012-04-30,1,8
115,2012-05-31,1,8
116,2012-06-30,1,8
117,2012-07-31,1,8
118,2012-08-31,1,8
119,2012-09-30,1,8
120,2012-10-31,1,8
121,2012-11-30,1,8
122,2012-12-31,1,8
123,2013-01-31,1,8
124,2013-02-28,1,8
125,2013-03-31,1,8
126,2013-04-30,1,8
127,2013-05-31,1,8
128,2013-06-30,1,8
129,2013-07-31,1,8
130,2013-08-31,1,8
131,2013-09-30,1,8
132,2013-10-31,1,8
133,2013-11-30,1,8
134,2013-12-31,1,8
135,2014-01-31,2,9
136,2014-02-28,2,9
137,2014-03-31,4,13
138,2014-04-30,5,15
139,2014-05-31,5,15
140,2014-06-30,7,19
141,2014-07-31,7,19
142,2014-08-31,7,19
143,2014-09-30,7,19
144,2014-10-31,7,19
145,2014-11-30,7,19
146,2014-12-31,7,19
147,2015-01-31,7,19
148,2015-02-28,7,19
149,2015-03-31,7,19
150,2015-04-30,7,19
151,2015-05-31,35,75
152,2015-06-30,36,81
153,2015-07-31,104,217
154,2015-08-31,104,217
155,2015-09-30,130,269
156,2015-10-31,144,297
157,2015-11-30,148,305
158,2015-12-31,182,373
159,2016-01-31,244,497
160,2016-02-29,307,622
161,2016-03-31,362,767
162,2016-04-30,390,823
163,2016-05-31,452,1003
164,2016-06-30,514,1127
165,2016-07-31,589,1277
166,2016-08-31,735,1569
167,2016-09-30,858,1815
168,2016-10-31,1003,2153
169,2016-11-30,1113,2375
170,2016-12-31,1296,2741
171,2017-01-31,1538,3236
172,2017-02-28,1736,3662
173,2017-03-31,2008,4281
174,2017-04-30,2512,7041
175,2017-05-31,2910,7896
176,2017-06-30,3216,8610
177,2017-07-31,3393,9026
178,2017-08-31,3567,9422
179,2017-09-30,3739,9791
180,2017-10-31,3884,10135
181,2017-11-30,4121,10648
182,2017-12-31,4362,11153
183,2018-01-31,4549,11572
184,2018-02-28,4727,12034
185,2018-03-31,4909,12478
186,2018-04-30,5177,13259
187,2018-05-31,5361,13697
188,2018-06-30,5679,14573
189,2018-07-31,5895,15208
190,2018-08-31,6017,15622
191,2018-09-30,6137,15970
192,2018-10-31,6280,16481
193,2018-11-30,6415,16889
194,2018-12-31,6529,17172
195,2019-01-31,7010,18177
196,2019-02-28,7299,18830
197,2019-03-31,7445,19393
198,2019-04-30,7563,19879
199,2019-05-31,7705,20306
200,2019-06-30,7806,20585
201,2019-07-31,7968,22359
202,2019-08-31,8077,22612
203,2019-09-30,8206,22942
204,2019-10-31,8321,23280
205,2019-11-30,9102,25277
206,2019-12-31,9782,27045
207,2020-01-31,9994,27834
208,2020-02-29,10654,29381
209,2020-03-31,11061,30568
210,2020-04-30,11923,32302
211,2020-05-31,12610,38825
212,2020-06-30,14591,43992
213,2020-07-31,15228,47035
214,2020-08-31,15785,49162
215,2020-09-30,16082,50537
216,2020-10-31,17254,55834
217,2020-11-30,17793,57981
218,2020-12-31,18249,59835
219,2021-01-31,19802,64334
220,2021-02-28,20179,65817
221,2021-03-31,22702,72605
222,2021-04-30,25438,80500
223,2021-05-31,26574,85779
224,2021-06-30,28119,93185
225,2021-07-31,29793,159290
226,2021-08-31,30691,164501
227,2021-09-30,31760,170738
228,2021-10-31,32851,179670
