fabricant;modele;annee;prix_Eur;puissance_cumul_Ch;couple_cumul_Nm;tps_acc_0_100_Sec;vitesse_max_Km_h;position_moteur_1;puissance_moteur_1_Ch;type_moteur_1;couple_moteur_1_Nm;position_moteur_2;puissance_moteur_2_Ch;type_moteur_2;couple_moteur_2_Nm;position_moteur_3;puissance_moteur_3_Ch;type_moteur_3;couple_moteur_3_Nm;homologation_autonomie;capacite_nominale_brute_KWh;capacite_utile_nette_KWh;prise_charge_AC;prise_charge_DC;vitesse_charge_AC_KW;vitesse_charge_AC_option_KW;vitesse_charge_DC_KW;vitesse_charge_DC_option_KW;refroidissement;temps_charge_DC_0_80;temps_charge_AC_0_80_prise_dom_2_3kW;temps_charge_AC_0_80_prise_dom_renforcee_3kW;autonomie_electrique_mixte_Km;conso_electrique_KWh_100km;pompe_chaleur;motricite;rapports;longueur_M;empattement_M;hauteur_M;largeur_M;coffre_L;poids_Kg;coffre_avant_arriere_L;essieu_avant;essieu_arriere;base_chassis;plateforme;pneus;pneus_arriere
Citroen;C-Zero;2012;26900;67;196;15.9;130;Arrière;67;Aimant permanent (synchrone);196;;;;;;;;;WLTP;16;14.5;Type 2;Chademo;3.7;;50;;Air;34 min. à 50 kW;5h38;4h19;100;12.5 ;Non;Propulsion;1;3.475;2.55;1.608;1.475;166.0;1150.0;;Macpherson;Semi-rigide;Thermique;;145/65 R 15;175/55 R 15
Dacia;Spring Electric 45;2021;20800;45;125;19.1;125;Avant;45;Aimant permanent (synchrone);125;;;;;;;;;WLTP;27.4;26.8;Type 2;CCS Combo;6.6;;0;30;Air;56 min. à 30 kW;9h31;7h17;230;13.9 ;Non;Traction;1;3.734;2.423;1.516;1.579;270.0;1045.0;;Macpherson;Semi-rigide;Thermique;;165/70 R 14;
Dacia;Spring Electric 65;2023;22300;65;113;13.7;125;Avant;65;Aimant permanent (synchrone);113;;;;;;;;;WLTP;27.4;26.8;Type 2;CCS Combo;6.6;;0;30;Air;56 min. à 30 kW;9h31;7h17;220;14.5 ;Non;Traction;1;3.734;2.423;1.516;1.579;270.0;1050.0;;Macpherson;Semi-rigide;Thermique;;165/70 R 14;
Fiat;500e;2020;24500;95;220;9.5;135;Avant;95;Aimant permanent (synchrone);220;;;;;;;;;WLTP;23.8;21.3;Type 2;CCS Combo;11;;50;;Liquide;31 min. à 50 kW;8h27;6h29;190;13 ;Non;Traction;1;3.632;2.322;1.527;1.748;185.0;1255.0;;Macpherson;Semi-rigide;Thermique;;185/65 R 15;
Fiat;500e;2020;27500;118;220;9.0;150;Avant;118;Aimant permanent (synchrone);220;;;;;;;;;WLTP;42;37.3;Type 2;CCS Combo;11;;85;;Liquide;32 min. à 85 kW;14h47;11h20;321;14 ;Non;Traction;1;3.632;2.322;1.527;1.748;185.0;1365.0;;Macpherson;Semi-rigide;Thermique;;185/65 R 15;
Nissan;Leaf;2011;29240;109;254;11.5;144;Avant;109;A excitation (synchrone);254;;;;;;;;;NEDC;24;;Type 2;Chademo;6.6;;50;;Air;26 min. à 50 kW;8h27;6h29;199;15 ;Oui;Traction;1;4.445;2.7;1.55;1.77;370.0;1505.0;;Macpherson;Semi-rigide;Thermique;;205/55 R 16;
Peugeot;Ion;2012;26900;67;196;15.9;130;Arrière;67;Aimant permanent (synchrone);196;;;;;;;;;WLTP;16;14.5;Type 2;Chademo;3.7;;50;;Air;34 min. à 50 kW;5h38;4h19;100;12.5 ;Non;Propulsion;1;3.747;2.55;1.608;1.475;166.0;1150.0;;Macpherson;Semi-rigide;Thermique;;145/65 R 15;175/55 R 15
Renault;Twingo III Z.E R80;2020;21350;82;160;12.9;135;Arrière;82;A excitation (synchrone);160;;;;;;;;;WLTP;22;;Type 2;Non;22;;0;;Air;;;;190;16 ;Oui;Propulsion;1;3.615;2.492;1.541;1.646;240.0;1168.0;;Macpherson;De Dion;Thermique;;165/65 R 15;185/60 R 15
Renault;Zoe Q210;2012;22400;88;220;13.5;135;Avant;88;A excitation (synchrone);220;;;;;;;;;NEDC;22;;Type 2;Non;43;;0;;Air;;;;210;;Oui;Traction;1;4.084;2.588;1.562;1.73;338.0;1468.0;;Macpherson;Semi-rigide;Thermique;;185/65 R 15;
Renault;Zoe R75;2016;23700;77;210;15.5;135;Avant;77;A excitation (synchrone);210;;;;;;;;;NEDC;41;;Type 2;Non;22;;0;;Air;;;;400;;Oui;Traction;1;4.084;2.588;1.562;1.73;338.0;1480.0;;Macpherson;Semi-rigide;Thermique;;185/65 R 15;
Renault;Zoe Q90;2016;24200;88;220;13.2;135;Avant;88;A excitation (synchrone);220;;;;;;;;;WLTP;41;;Type 2;Non;43;;0;;Air;;;;300;;Oui;Traction;1;4.084;2.588;1.562;1.73;338.0;1480.0;;Macpherson;Semi-rigide;Thermique;;205/45 R 17;
Renault;Zoe R90;2016;23200;92;220;13.2;135;Avant;92;A excitation (synchrone);220;;;;;;;;;WLTP;41;;Type 2;Non;22;;0;;Air;;;;317;;Oui;Traction;1;4.084;2.588;1.562;1.73;338.0;1480.0;;Macpherson;Semi-rigide;Thermique;;205/45 R 17;
Renault;Zoe R110;2016;26800;108;225;11.4;135;Avant;108;A excitation (synchrone);225;;;;;;;;;WLTP;41;;Type 2;Non;22;;0;;Air;;;;300;;Oui;Traction;1;4.084;2.588;1.562;1.73;338.0;1500.0;;Macpherson;Semi-rigide;Thermique;;205/45 R 17;
Seat;Mii EV;2019;21920;83;212;12.3;130;Avant;83;Aimant permanent (synchrone);212;;;;;;;;;WLTP;32.3;;Type 2;CCS Combo;7.4;;50;;Air;35 min. à 50 kW;11h16;8h38;258;14.5 ;Non;Traction;1;3.557;2.42;1.478;1.645;251.0;1235.0;;Macpherson;Semi-rigide;Thermique;;165/65 R 15;
Smart;Fortwo EQ;2018;27350;82;160;11.5;130;Arrière;;Aimant permanent (synchrone);;;;;;;;;;WLTP;17.6;;Type 2;Non;3.7;22;0;;Air;;;;135;16.1 ;Non;Propulsion;0;2.7;1.87;1.56;1.66;260.0;1160.0;;Macpherson;De Dion;Thermique;;165/65 R 15;185/60 R 15
Volkswagen;E-Up!;2013;27860;82;210;12.4;130;Avant;82;Aimant permanent (synchrone);210;;;;;;;;;NEDC;18.7;;Type 2;CCS Combo;3.6;;50;;Air;21 min. à 50 kW;6h41;5h08;160;;Non;Traction;1;3.54;2.42;1.477;1.645;250.0;1214.0;;Macpherson;Semi-rigide;Thermique;;165/65 R 15;
Volkswagen;E-Up! 2.0;2019;23440;83;212;11.9;130;Avant;83;Aimant permanent (synchrone);212;;;;;;;;;WLTP;32.3;;Type 2;CCS Combo;7.4;;40;;Air;41 min. à 40 kW;11h16;8h38;258;14.5 ;Non;Traction;1;3.6;2.417;1.507;1.645;251.0;1235.0;;Macpherson;Semi-rigide;Thermique;;165/65 R 15;
Aiways;U5;2021;39300;204;310;7.8;160;Avant;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;63;;Type 2;CCS Combo;6.6;;90;;Liquide;38 min. à 90 kW;22h11;17h01;410;16.8 ;Non;Traction;1;4.68;2.8;1.7;1.865;472.0;1795.0;40/432;Macpherson;Multibras;Thermique;;235/50 R 19;
BMW;i3 60Ah;2013;35490;170;250;7.2;150;Arrière;170;Aimant permanent (synchrone);250;;;;;;;;;NEDC;22.2;18.8;Type 2;CCS Combo;7.4;;50;;Liquide;29 min. à 50 kW;7h45;5h56;190;;En option;Propulsion;1;3.999;2.57;1.578;1.775;260.0;1345.0;;Macpherson;Multibras;Electrique;;175/60 R19 (Ar);
BMW;i3 94Ah;2017;38736;170;250;7.3;150;Arrière;170;Aimant permanent (synchrone);250;;;;;;;;;WLTP;33;27.2;Type 2;CCS Combo;7.4;;50;;Liquide;42 min. à 50 kW;11h37;8h55;260;;En option;Propulsion;1;4.006;2.57;1.6;1.775;260.0;1345.0;;Macpherson;Multibras;Electrique;;175/60 R19 (Ar);
