id,insee,score_2,last_updated
34951,01001,0.000845283,2023-11-20
34952,01002,0.000382364,2023-11-20
34953,01004,0.103852751,2023-11-20
34954,01005,5.26288e-05,2023-11-20
34955,01006,1.61109e-05,2023-11-20
34956,01007,0.12317719,2023-11-20
34957,01008,0.015758569,2023-11-20
34958,01009,0.001632567,2023-11-20
34959,01010,0.000758284,2023-11-20
34960,01011,0.01918696,2023-11-20
34961,01012,0.001716344,2023-11-20
34962,01013,0.00142957,2023-11-20
34963,01014,0.001021429,2023-11-20
34964,01015,0.002195373,2023-11-20
34965,01016,0.032599788,2023-11-20
34966,01017,0.001422052,2023-11-20
34967,01019,0.001529458,2023-11-20
34968,01021,0.000539177,2023-11-20
34969,01022,0.000430697,2023-11-20
34970,01023,0.03191991,2023-11-20
34971,01024,0.123639035,2023-11-20
34972,01025,0.04327914,2023-11-20
34973,01026,0.042422042,2023-11-20
34974,01027,0.058924933,2023-11-20
34975,01028,0.000743248,2023-11-20
34976,01029,0.084357536,2023-11-20
34977,01030,0.006619415,2023-11-20
34978,01031,0.000930134,2023-11-20
34979,01032,0.089185424,2023-11-20
34980,01033,0.018887298,2023-11-20
34981,01034,0.001729232,2023-11-20
34982,01035,0.00026207,2023-11-20
34983,01036,0.000586435,2023-11-20
34984,01037,0.015134542,2023-11-20
34985,01038,0.084004172,2023-11-20
34986,01039,0.000526288,2023-11-20
34987,01040,0.000128887,2023-11-20
34988,01041,0.015675867,2023-11-20
34989,01042,0.000300736,2023-11-20
34990,01043,0.002502554,2023-11-20
34991,01044,0.0182869,2023-11-20
34992,01045,0.000201923,2023-11-20
34993,01046,0.001333979,2023-11-20
34994,01047,0.087861111,2023-11-20
34995,01049,0.002588478,2023-11-20
34996,01050,0.000128887,2023-11-20
34997,01051,0.000151442,2023-11-20
34998,01052,0.000314699,2023-11-20
34999,01053,0.123971993,2023-11-20
35000,01054,0.088843874,2023-11-20
35001,01056,0.00064336,2023-11-20
35002,01057,0.032025167,2023-11-20
35003,01058,0.013420346,2023-11-20
35004,01060,0.000306106,2023-11-20
35005,01061,0.001629345,2023-11-20
35006,01062,0.002553034,2023-11-20
35007,01063,0.019458697,2023-11-20
35008,01064,0.000947319,2023-11-20
35009,01065,0.03570811,2023-11-20
35010,01066,0.001448903,2023-11-20
35011,01067,0.019547843,2023-11-20
35012,01068,0.020117094,2023-11-20
35013,01069,0.122090244,2023-11-20
35014,01071,0.000366254,2023-11-20
35015,01072,0.12239098,2023-11-20
35016,01073,0.000927986,2023-11-20
35017,01074,0.000212663,2023-11-20
35018,01075,0.000608991,2023-11-20
35019,01076,0.001546643,2023-11-20
35020,01077,0.01967136,2023-11-20
35021,01078,0.000848505,2023-11-20
35022,01079,0.000337254,2023-11-20
35023,01080,0.000527362,2023-11-20
35024,01081,0.000607916,2023-11-20
35025,01082,0.000762581,2023-11-20
35026,01083,0.00049514,2023-11-20
35027,01084,0.000952689,2023-11-20
35028,01085,0.000490844,2023-11-20
35029,01087,0.018284752,2023-11-20
35030,01088,0.088944835,2023-11-20
35031,01089,0.103838788,2023-11-20
35032,01090,8.37765e-05,2023-11-20
35033,01092,0.103803344,2023-11-20
35034,01093,0.000711026,2023-11-20
35035,01094,0.000335106,2023-11-20
35036,01095,0.000260996,2023-11-20
35037,01096,0.000620805,2023-11-20
35038,01098,0.001781861,2023-11-20
35039,01099,0.088934095,2023-11-20
35040,01100,0.001550939,2023-11-20
35041,01101,0.019452252,2023-11-20
35042,01102,0.000282477,2023-11-20
35043,01103,0.000758284,2023-11-20
35044,01104,0.018499563,2023-11-20
35045,01105,0.002235113,2023-11-20
35046,01106,9.12949e-05,2023-11-20
35047,01107,0.001396275,2023-11-20
35048,01108,0.000385587,2023-11-20
35049,01109,0.001033243,2023-11-20
35050,01110,1.61109e-05,2023-11-20
35051,01111,0.001428496,2023-11-20
35052,01112,0.019452252,2023-11-20
35053,01113,0.000243811,2023-11-20
35054,01114,0.018533933,2023-11-20
35055,01115,0.041352281,2023-11-20
35056,01116,0.001608938,2023-11-20
35057,01117,0.000750766,2023-11-20
35058,01118,0.000840987,2023-11-20
35059,01121,0.000327587,2023-11-20
35060,01123,0.028047933,2023-11-20
35061,01124,0.084354314,2023-11-20
35062,01125,0.000165405,2023-11-20
35063,01127,0.000322217,2023-11-20
35064,01128,0.000192256,2023-11-20
35065,01129,0.000162183,2023-11-20
35066,01130,0.083961209,2023-11-20
35067,01133,0.001494014,2023-11-20
35068,01134,0.043698022,2023-11-20
35069,01135,0.000861394,2023-11-20
35070,01136,0.00086032,2023-11-20
35071,01138,0.000802321,2023-11-20
35072,01139,0.000135331,2023-11-20
35073,01140,0.040707847,2023-11-20
35074,01141,0.001593901,2023-11-20
35075,01142,0.002564849,2023-11-20
35076,01143,0.000408142,2023-11-20
35077,01145,0.000139627,2023-11-20
35078,01146,0.000419956,2023-11-20
35079,01147,0.084384388,2023-11-20
35080,01148,0.000881801,2023-11-20
35081,01149,0.103830196,2023-11-20
35082,01150,0.000245959,2023-11-20
35083,01151,0.123191153,2023-11-20
35084,01152,0.000252403,2023-11-20
35085,01153,0.000919393,2023-11-20
35086,01154,0.0,2023-11-20
35087,01155,0.001584235,2023-11-20
35088,01156,0.000208367,2023-11-20
35089,01157,0.006694599,2023-11-20
35090,01158,0.000932282,2023-11-20
35091,01159,0.050698728,2023-11-20
35092,01160,0.000447882,2023-11-20
35093,01162,0.000678804,2023-11-20
35094,01163,0.000382364,2023-11-20
35095,01165,0.007030779,2023-11-20
35096,01166,0.006475492,2023-11-20
35097,01167,0.007854581,2023-11-20
35098,01169,0.007102741,2023-11-20
35099,01170,0.001007466,2023-11-20
35100,01171,0.000930134,2023-11-20
35101,01173,0.0007411,2023-11-20
35102,01174,0.000253478,2023-11-20
35103,01175,0.000249181,2023-11-20
35104,01177,0.000173997,2023-11-20
35105,01179,0.028784736,2023-11-20
35106,01180,0.000343698,2023-11-20
35107,01181,0.000966652,2023-11-20
35108,01183,0.007118852,2023-11-20
35109,01184,0.000205145,2023-11-20
35110,01185,0.001857045,2023-11-20
35111,01187,0.018419009,2023-11-20
35112,01188,0.00074647,2023-11-20
35113,01189,0.000521992,2023-11-20
35114,01190,0.001432792,2023-11-20
35115,01191,0.00042103,2023-11-20
35116,01192,0.001075131,2023-11-20
35117,01193,0.001439237,2023-11-20
35118,01194,0.008515126,2023-11-20
35119,01195,0.123689516,2023-11-20
35120,01196,0.000269588,2023-11-20
35121,01197,0.121741176,2023-11-20
35122,01198,0.000157886,2023-11-20
35123,01199,0.001037539,2023-11-20
35124,01200,0.019621953,2023-11-20
35125,01202,0.015684459,2023-11-20
35126,01203,0.001065465,2023-11-20
35127,01204,0.018267567,2023-11-20
35128,01206,0.000312551,2023-11-20
35129,01207,0.000147146,2023-11-20
35130,01208,0.000776543,2023-11-20
35131,01209,0.018225679,2023-11-20
35132,01210,0.000316847,2023-11-20
35133,01211,0.00048977,2023-11-20
35134,01212,0.000178294,2023-11-20
35135,01213,0.104242634,2023-11-20
35136,01214,0.019450104,2023-11-20
35137,01215,0.000429623,2023-11-20
35138,01216,0.000897912,2023-11-20
35139,01219,0.001410237,2023-11-20
35140,01224,0.088475472,2023-11-20
35141,01225,0.000700285,2023-11-20
35142,01227,0.001630419,2023-11-20
35143,01228,0.019511325,2023-11-20
35144,01229,0.000264218,2023-11-20
35145,01230,0.000180442,2023-11-20
35146,01231,0.031711543,2023-11-20
35147,01232,0.083955839,2023-11-20
35148,01233,1.61109e-05,2023-11-20
35149,01234,0.001558457,2023-11-20
35150,01235,0.000252403,2023-11-20
35151,01236,0.000253478,2023-11-20
35152,01237,0.019165479,2023-11-20
35153,01238,0.002495035,2023-11-20
35154,01239,0.001559531,2023-11-20
35155,01240,0.000152516,2023-11-20
35156,01241,0.122467239,2023-11-20
35157,01242,0.000761507,2023-11-20
35158,01243,0.006467973,2023-11-20
35159,01244,0.088944835,2023-11-20
35160,01245,0.000800173,2023-11-20
35161,01246,0.04151876,2023-11-20
35162,01247,0.000687397,2023-11-20
35163,01248,0.002183559,2023-11-20
35164,01249,0.002527257,2023-11-20
35165,01250,0.002698032,2023-11-20
35166,01252,0.000517696,2023-11-20
35167,01254,0.122877528,2023-11-20
35168,01255,0.01382097,2023-11-20
35169,01257,0.018353492,2023-11-20
35170,01258,0.006832079,2023-11-20
35171,01259,0.000273885,2023-11-20
35172,01260,6.55175e-05,2023-11-20
35173,01261,0.000100961,2023-11-20
35174,01262,0.002644329,2023-11-20
35175,01263,0.007119926,2023-11-20
35176,01264,0.000416734,2023-11-20
35177,01265,0.019153664,2023-11-20
35178,01266,0.000264218,2023-11-20
35179,01267,0.019499511,2023-11-20
35180,01268,0.001370497,2023-11-20
35181,01269,0.019153664,2023-11-20
35182,01272,0.00071747,2023-11-20
35183,01273,0.123021452,2023-11-20
35184,01274,0.018280456,2023-11-20
35185,01275,0.0019086,2023-11-20
35186,01276,0.002608885,2023-11-20
35187,01277,0.001664789,2023-11-20
35188,01279,0.00157242,2023-11-20
35189,01280,0.001438163,2023-11-20
35190,01281,0.000506955,2023-11-20
35191,01282,0.000339402,2023-11-20
35192,01283,0.001006392,2023-11-20
35193,01284,0.031682543,2023-11-20
35194,01285,0.002519738,2023-11-20
35195,01286,0.001558457,2023-11-20
35196,01288,0.001068687,2023-11-20
35197,01289,0.122389906,2023-11-20
35198,01290,0.089152128,2023-11-20
35199,01291,0.041959124,2023-11-20
35200,01293,0.019489844,2023-11-20
