id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-435705,2021-01-04,000001,Vente,146000,13,,RUE DE SION,1058,91000,91228,Évry-Courcouronnes,91,,,91228000AB0175,,,376,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.433476,48.641092
2021-435705,2021-01-04,000001,Vente,146000,9,,RUE DE SION,1058,91000,91228,Évry-Courcouronnes,91,,,91228000AB0175,,,39,67.22,,,,,,,,,1,2,Appartement,67,3,,,,,,2.433476,48.641092
2021-435706,2021-01-05,000001,Vente,3500,4,,PL D'ESSONNES,2990,91100,91174,Corbeil-Essonnes,91,,,91174000BO0218,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.465334,48.604042
2021-435707,2021-01-05,000001,Vente,138000,96,,RUE DE ROBINSON,4190,91100,91174,Corbeil-Essonnes,91,,,91174000BP0471,,,2,60.17,,,,,,,,,1,1,Maison,62,3,,,,,,2.458387,48.604715
2021-435708,2021-01-05,000001,Vente,320000,1,,VLA LAMARTINE,3211,91080,91228,Évry-Courcouronnes,91,,,91228182AH0315,,,26,124.25,,,,,,,,,1,1,Maison,134,7,S,sols,,,224,2.412248,48.620252
2021-435709,2021-01-06,000001,Vente,173000,8,,RUE DU BOUQUET,0460,91270,91657,Vigneux-sur-Seine,91,,,91657000AP0308,,,20,44.54,,,,,,,,,1,2,Appartement,44,2,,,,,,2.415622,48.696078
2021-435709,2021-01-06,000001,Vente,173000,8,,RUE DU BOUQUET,0460,91270,91657,Vigneux-sur-Seine,91,,,91657000AP0308,,,55,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.415622,48.696078
2021-435710,2021-01-06,000001,Vente,450000,,,RUE DE SEINE,1320,91450,91600,Soisy-sur-Seine,91,,,91600000AM0175,,,,,,,,,,,,,0,,,,,S,sols,,,113,2.452469,48.642209
2021-435710,2021-01-06,000001,Vente,450000,28,,RUE DE SEINE,1320,91450,91600,Soisy-sur-Seine,91,,,91600000AM0202,,,,,,,,,,,,,0,1,Maison,100,3,AG,terrains d'agrément,,,461,2.452774,48.641931
2021-435710,2021-01-06,000001,Vente,450000,28,,RUE DE SEINE,1320,91450,91600,Soisy-sur-Seine,91,,,91600000AM0202,,,,,,,,,,,,,0,1,Maison,100,3,S,sols,,,1000,2.452774,48.641931
