id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-453133,2021-01-04,000001,Vente,483400,94,,RUE DE LA FRATERNITE,3581,93170,93006,Bagnolet,93,,,93006000AF0143,,,4,,,,,,,,,,1,2,Appartement,74,3,,,,,,2.423187,48.858609
2021-453134,2021-01-07,000001,Vente,170000,2,,RUE MAX JACOB,6139,93130,93053,Noisy-le-Sec,93,,,93053000AO0136,,,5,,,,,,,,,,1,2,Appartement,42,2,,,,,,2.465074,48.887137
2021-453134,2021-01-07,000001,Vente,170000,9001,,RUE MAX JACOB,6139,93130,93053,Noisy-le-Sec,93,,,93053000AO0138,,,5,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.464722,48.886926
2021-453135,2021-01-05,000001,Vente,217300,3,,AV PAUL ELUARD,7142,93000,93008,Bobigny,93,,,93008000AH0310,,,213,,59,,,,,,,,2,2,Appartement,70,3,,,,,,2.44307,48.907231
2021-453136,2021-01-06,000001,Vente,55000,25,,RUE RENE DESCHAMPS,8108,93700,93029,Drancy,93,,,93029000BQ0271,,,8,,,,,,,,,,1,2,Appartement,26,1,,,,,,2.455386,48.914226
2021-453137,2021-01-07,000001,Vente,110000,44,,RUE VICTOR HUGO,9640,93700,93029,Drancy,93,,,930290000C0220,,,11,,16,,,,,,,,2,2,Appartement,24,1,,,,,,2.450381,48.936863
2021-453138,2021-01-08,000001,Vente,760000,11,,RUE BAUDIN,0615,93310,93061,Le Pré-Saint-Gervais,93,,,930610000C0092,,,36,,38,,,,,,,,2,2,Appartement,121,4,,,,,,2.404543,48.886221
2021-453139,2021-01-07,000001,Vente,76600,23,,RUE SCANDICCI,8517,93500,93055,Pantin,93,,,93055000AO0202,,,210,21.52,,,,,,,,,1,4,Local industriel. commercial ou assimilé,22,0,,,,,,2.398275,48.893182
2021-453140,2021-01-08,000001,Vente,365023,34,,RUE JULES VALLES,4785,93700,93029,Drancy,93,,,93029000BH0056,,,,,,,,,,,,,0,1,Maison,125,6,S,sols,,,300,2.440171,48.918789
2021-453141,2021-01-04,000001,Vente,620000,8,,RUE LECOUTEUX,5125,93260,93045,Les Lilas,93,,,930450000J0036,,,11,85.63,28,,,,,,,,2,2,Appartement,85,3,,,,,,2.419877,48.8797
2021-453141,2021-01-04,000001,Vente,620000,8,,RUE LECOUTEUX,5125,93260,93045,Les Lilas,93,,,930450000J0036,,,24,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.419877,48.8797
2021-453142,2021-01-11,000001,Vente,237000,175,,AV HENRI BARBUSSE,4425,93700,93029,Drancy,93,,,930290000Z0128,,,13,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.453287,48.921134
2021-453142,2021-01-11,000001,Vente,237000,175,,AV HENRI BARBUSSE,4425,93700,93029,Drancy,93,,,930290000Z0128,,,141,,56,,,,,,,,2,2,Appartement,62,3,,,,,,2.453287,48.921134
2021-453142,2021-01-11,000001,Vente,237000,175,,AV HENRI BARBUSSE,4425,93700,93029,Drancy,93,,,930290000Z0128,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.453287,48.921134
2021-453143,2021-01-05,000001,Vente,315000,20,,RUE PAUL DE KOCK,6135,93230,93063,Romainville,93,,,930630000M0046,,,22,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.437235,48.886132
2021-453143,2021-01-05,000001,Vente,315000,20,,RUE PAUL DE KOCK,6135,93230,93063,Romainville,93,,,930630000M0046,,,13,53.03,14,,15,,,,,,3,1,Maison,51,3,,,,,,2.437235,48.886132
2021-453144,2021-01-05,000001,Vente,173000,11,,RUE EUGENE DURIN,3185,93130,93053,Noisy-le-Sec,93,,,930530000U0008,,,42,,48,,,,,,,,2,2,Appartement,42,2,,,,,,2.452984,48.893956
2021-453144,2021-01-05,000001,Vente,173000,11,,RUE EUGENE DURIN,3185,93130,93053,Noisy-le-Sec,93,,,930530000U0008,,,55,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.452984,48.893956
2021-453145,2021-01-04,000001,Vente,150000,17,,RUE GABRIELLE JOSSERAND,4110,93500,93055,Pantin,93,,,930550000F0001,,,126,28.72,261,,,,,,,,2,2,Appartement,29,1,,,,,,2.394174,48.904293
2021-453146,2021-01-11,000001,Vente,252000,24,,BD HENRI BARBUSSE,4420,93230,93063,Romainville,93,,,93063000AC0033,,,42,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.44052,48.882042
2021-453146,2021-01-11,000001,Vente,252000,24,,BD HENRI BARBUSSE,4420,93230,93063,Romainville,93,,,93063000AC0033,,,3,47.64,,,,,,,,,1,2,Appartement,50,2,,,,,,2.44052,48.882042
2021-453147,2021-01-11,000001,Vente,151190,1,,IMP DES LIMITES,5231,93700,93029,Drancy,93,,,93029000BV0142,,,22,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.463303,48.913323
2021-453147,2021-01-11,000001,Vente,151190,1,,IMP DES LIMITES,5231,93700,93029,Drancy,93,,,93029000BV0142,,,4,48.1,,,,,,,,,1,2,Appartement,53,2,,,,,,2.463303,48.913323
2021-453148,2021-01-08,000001,Vente,168000,9,,AV GALLIENI,4120,93130,93053,Noisy-le-Sec,93,,,930530000E0211,,,7,,,,,,,,,,1,2,Appartement,58,3,,,,,,2.463102,48.898616
2021-453149,2021-01-08,000001,Vente,376000,40,,RUE EDOUARD VAILLANT,3110,93170,93006,Bagnolet,93,,,93006000AH0232,,,273,,614,88,,,,,,,2,2,Appartement,91,4,,,,,,2.416665,48.857505
