id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-447020,2021-01-05,000001,Vente,9500,49,,RUE D'ESTIENNE D'ORVES,3170,92700,92025,Colombes,92,,,92025000AO0348,,,66,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.24707,48.919734
2021-447021,2021-01-07,000001,Vente en l'état futur d'achèvement,262500,,,,,,92078,Villeneuve-la-Garenne,92,,,920780000N0243,,,2004,63.88,,,,,,,,,1,,,,,,,,,,2.327009,48.926443
2021-447021,2021-01-07,000001,Vente en l'état futur d'achèvement,262500,,,,,,92078,Villeneuve-la-Garenne,92,,,920780000N0243,,,7102,12.5,,,,,,,,,1,,,,,,,,,,2.327009,48.926443
2021-447022,2021-01-06,000001,Vente,310000,116,,BD HENRI SELLIER,4440,92150,92073,Suresnes,92,,,92073000AE0009,,,3,67.89,,,,,,,,,1,4,Local industriel. commercial ou assimilé,70,0,,,,,,2.218571,48.86427
2021-447023,2021-01-08,000001,Vente,480000,36,,RUE LEHOT,5140,92600,92004,Asnières-sur-Seine,92,,,92004000AB0187,,,20,,5,62.78,,,,,,,2,3,Dépendance,,0,,,,,,2.281718,48.915547
2021-447023,2021-01-08,000001,Vente,480000,36,,RUE LEHOT,5140,92600,92004,Asnières-sur-Seine,92,,,92004000AB0187,,,20,,5,62.78,,,,,,,2,2,Appartement,64,3,,,,,,2.281718,48.915547
2021-447023,2021-01-08,000001,Vente,480000,36,,RUE LEHOT,5140,92600,92004,Asnières-sur-Seine,92,,,92004000AB0187,,,201,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.281718,48.915547
2021-447024,2021-01-05,000001,Vente,345000,80,,RUE SARTORIS,8515,92250,92035,La Garenne-Colombes,92,,,920350000G0210,,,127,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.242631,48.906853
2021-447024,2021-01-05,000001,Vente,345000,80,,RUE SARTORIS,8515,92250,92035,La Garenne-Colombes,92,,,920350000G0210,,,33,43.32,,,,,,,,,1,2,Appartement,43,2,,,,,,2.242631,48.906853
2021-447025,2021-01-08,000001,Vente,384000,94,,RUE ARISTIDE BRIAND,0080,92300,92044,Levallois-Perret,92,,,920440000R0003,,,9,41.8,,,,,,,,,1,2,Appartement,41,3,,,,,,2.290816,48.893283
2021-447026,2021-01-12,000001,Vente en l'état futur d'achèvement,396576,9,,RUE COLONEL DE ROCHEBRUNE,0850,92500,92063,Rueil-Malmaison,92,,,92063000BI1115,,,141,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.191049,48.857562
2021-447026,2021-01-12,000001,Vente en l'état futur d'achèvement,396576,9,,RUE COLONEL DE ROCHEBRUNE,0850,92500,92063,Rueil-Malmaison,92,,,92063000BI1115,,,35,,9,56.73,,,,,,,2,3,Dépendance,,0,,,,,,2.191049,48.857562
2021-447026,2021-01-12,000001,Vente en l'état futur d'achèvement,396576,9,,RUE COLONEL DE ROCHEBRUNE,0850,92500,92063,Rueil-Malmaison,92,,,92063000BI1115,,,35,,9,56.73,,,,,,,2,2,Appartement,56,3,,,,,,2.191049,48.857562
2021-447027,2021-01-08,000001,Vente,261900,126,,RUE DU R P CH GILBERT,8160,92600,92004,Asnières-sur-Seine,92,,,920040000N0249,,,9,45.19,,,,,,,,,1,2,Appartement,44,3,,,,,,2.282465,48.918276
2021-447027,2021-01-08,000001,Vente,261900,126,,RUE DU R P CH GILBERT,8160,92600,92004,Asnières-sur-Seine,92,,,920040000N0249,,,9,45.19,,,,,,,,,1,3,Dépendance,,0,,,,,,2.282465,48.918276
2021-447028,2021-01-11,000001,Vente en l'état futur d'achèvement,341274,208,,AV GEORGES CLEMENCEAU,4140,92000,92050,Nanterre,92,,,92050000BF0070,,,73,,,,,,,,,,1,,,,,,,,,,2.215378,48.885652
2021-447028,2021-01-11,000001,Vente en l'état futur d'achèvement,341274,208,,AV GEORGES CLEMENCEAU,4140,92000,92050,Nanterre,92,,,92050000BF0070,,,33,,,,,,,,,,1,,,,,,,,,,2.215378,48.885652
2021-447029,2021-01-05,000001,Vente,407200,4,,PL DU MARCHE,6130,92200,92051,Neuilly-sur-Seine,92,,,92051000AB0072,,,28,23.21,,,,,,,,,1,2,Appartement,24,2,,,,,,2.276375,48.880401
2021-447030,2021-01-15,000001,Vente,1040000,1,,RUE WINDSOR,9930,92200,92051,Neuilly-sur-Seine,92,,,92051000AR0048,,,24,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.251882,48.879493
