id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-474157,2021-01-05,000001,Vente,315000,128,,RUE D HEURCOURT,0080,95810,95059,Berville,95,,,950590000B0155,,,,,,,,,,,,,0,1,Maison,108,5,S,sols,,,233,2.06028,49.195149
2021-474157,2021-01-05,000001,Vente,315000,,,HEURCOURT,B039,95810,95059,Berville,95,,,950590000B0158,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,1118,2.060585,49.194819
2021-474157,2021-01-05,000001,Vente,315000,,,RUE D HEURCOURT,0080,95810,95059,Berville,95,,,950590000B0159,,,,,,,,,,,,,0,,,,,S,sols,,,300,2.060469,49.195101
2021-474158,2021-01-05,000001,Vente,724050,23,B,RTE DES CRETES,0134,95510,95651,Vétheuil,95,,,956510000B1210,,,,,,,,,,,,,0,1,Maison,270,6,AG,terrains d'agrément,,,2388,1.704154,49.068393
2021-474158,2021-01-05,000001,Vente,724050,23,B,RTE DES CRETES,0134,95510,95651,Vétheuil,95,,,956510000B1210,,,,,,,,,,,,,0,1,Maison,270,6,S,sols,,,500,1.704154,49.068393
2021-474158,2021-01-05,000001,Vente,724050,23,,RTE DES CRETES,0134,95510,95651,Vétheuil,95,,,956510000B1212,,,,,,,,,,,,,0,1,Maison,46,3,AG,terrains d'agrément,,,1060,1.70452,49.068189
2021-474158,2021-01-05,000001,Vente,724050,23,,RTE DES CRETES,0134,95510,95651,Vétheuil,95,,,956510000B1212,,,,,,,,,,,,,0,1,Maison,46,3,S,sols,,,500,1.70452,49.068189
2021-474159,2021-01-06,000001,Vente,309100,12,,RUE DES ORMETEAUX,0060,95450,95253,Frémainville,95,,,952530000B0548,,,,,,,,,,,,,0,1,Maison,93,4,S,sols,,,200,1.868094,49.063998
2021-474159,2021-01-06,000001,Vente,309100,12,,RUE DES ORMETEAUX,0060,95450,95253,Frémainville,95,,,952530000B0548,,,,,,,,,,,,,0,1,Maison,93,4,J,jardins,POTAG,Jardin potager,460,1.868094,49.063998
2021-474159,2021-01-06,000001,Vente,309100,,,SOUS LES ORMETEAUX,B052,95450,95253,Frémainville,95,,,952530000B0550,,,,,,,,,,,,,0,,,,,S,sols,,,100,1.86798,49.063716
2021-474159,2021-01-06,000001,Vente,309100,,,SOUS LES ORMETEAUX,B052,95450,95253,Frémainville,95,,,952530000B0550,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,287,1.86798,49.063716
2021-474160,2021-01-06,000001,Vente,201000,1,,RUE DE LA GARE,0040,95180,95388,Menucourt,95,,,95388000AB0302,,,,,,,,,,,,,0,1,Maison,65,2,S,sols,,,207,1.986255,49.027861
2021-474161,2021-01-08,000001,Vente,328000,45,,RUE D EPLUCHES,0240,95310,95572,Saint-Ouen-l'Aumône,95,,,95572000AX0119,,,,,,,,,,,,,0,1,Maison,116,5,AB,terrains a bâtir,,,390,2.125303,49.059004
2021-474161,2021-01-08,000001,Vente,328000,45,,RUE D EPLUCHES,0240,95310,95572,Saint-Ouen-l'Aumône,95,,,95572000AX0125,,,,,,,,,,,,,0,,,,,S,sols,,,478,2.125796,49.058964
2021-474162,2021-01-06,000001,Vente,163900,23,,RUE DUQUESNEL,0220,95260,95052,Beaumont-sur-Oise,95,,,95052000AC0881,,,62,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.28131,49.141502
2021-474162,2021-01-06,000001,Vente,163900,23,,RUE DUQUESNEL,0220,95260,95052,Beaumont-sur-Oise,95,,,95052000AC0881,,,7,46.23,,,,,,,,,1,2,Appartement,45,2,,,,,,2.28131,49.141502
2021-474162,2021-01-06,000001,Vente,163900,23,,RUE DUQUESNEL,0220,95260,95052,Beaumont-sur-Oise,95,,,95052000AC0881,,,43,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.28131,49.141502
2021-474163,2021-01-06,000001,Vente,280000,86,,RUE DE LA CROIX VILLECOQ,0231,95280,95323,Jouy-le-Moutier,95,,,95323000CI0073,,,,,,,,,,,,,0,1,Maison,92,5,S,sols,,,346,2.031043,49.008166
2021-474164,2021-01-05,000001,Vente,285000,39,,RUE DU GENERAL DE GAULLE,0150,95620,95480,Parmain,95,,,95480000AE0761,,,,,,,,,,,,,0,1,Maison,74,4,S,sols,,,616,2.203193,49.101128
2021-474164,2021-01-05,000001,Vente,285000,39,,RUE DU GENERAL DE GAULLE,0150,95620,95480,Parmain,95,,,95480000AE0762,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,318,2.203848,49.101106
2021-474165,2021-01-08,000001,Vente,290000,6,B,RUE RAYMOND POINCARE,0370,95620,95480,Parmain,95,,,95480000AP0084,,,,,,,,,,,,,0,1,Maison,86,4,S,sols,,,560,2.212544,49.124088
2021-474166,2021-01-09,000001,Vente,336000,20,B,ALL DES KARAKIS,0980,95630,95392,Mériel,95,,,95392000AL0349,,,,,,,,,,,,,0,1,Maison,88,4,J,jardins,POTAG,Jardin potager,514,2.197745,49.073934
2021-474167,2021-01-08,000001,Vente,217000,24,,RUE ALEXANDRE PRACHAY,0020,95590,95504,Presles,95,,,95504000AL0163,,,,,,,,,,,,,0,1,Maison,60,2,S,sols,,,62,2.29889,49.107339
2021-474168,2021-01-05,000001,Vente,170000,12,,RUE PIERRE AUX POISSONS,1430,95300,95500,Pontoise,95,,,95500000AK0141,,,1,106.41,,,,,,,,,1,4,Local industriel. commercial ou assimilé,120,0,,,,,,2.097749,49.050593
2021-474169,2021-01-11,000001,Vente,250000,11,,RUE PASTEUR,0760,95520,95476,Osny,95,,,95476000AM0221,,,164,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.068364,49.061623
2021-474169,2021-01-11,000001,Vente,250000,11,,RUE PASTEUR,0760,95520,95476,Osny,95,,,95476000AM0221,,,102,83.16,,,,,,,,,1,2,Appartement,82,4,,,,,,2.068364,49.061623
2021-474169,2021-01-11,000001,Vente,250000,9,,RUE PASTEUR,0760,95520,95476,Osny,95,,,95476000AM0221,,,213,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.068364,49.061623
