id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-363933,2021-01-06,000001,Vente,184300,4,,AV CLEMENT ADER,0145,78190,78621,Trappes,78,,,78621000AX0133,,,152,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.988168,48.78039
2021-363933,2021-01-06,000001,Vente,184300,4,,AV CLEMENT ADER,0145,78190,78621,Trappes,78,,,78621000AX0133,,,135,,52,,,,,,,,2,2,Appartement,62,3,,,,,,1.988168,48.78039
2021-363933,2021-01-06,000001,Vente,184300,4,,AV CLEMENT ADER,0145,78190,78621,Trappes,78,,,78621000AX0133,,,151,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.988168,48.78039
2021-363934,2021-01-06,000001,Vente,359000,8,,CHE DU GRAND CHENE,0252,78330,78242,Fontenay-le-Fleury,78,,,78242000AE0168,,,123,,16,91.39,,,,,,,2,2,Appartement,92,5,,,,,,2.036747,48.808786
2021-363934,2021-01-06,000001,Vente,359000,6,,CHE DU GRAND CHENE,0252,78330,78242,Fontenay-le-Fleury,78,,,78242000AE0168,,,57,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.036747,48.808786
2021-363934,2021-01-06,000001,Vente,359000,6,,CHE DU GRAND CHENE,0252,78330,78242,Fontenay-le-Fleury,78,,,78242000AE0168,,,58,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.036747,48.808786
2021-363935,2021-01-08,000001,Vente,355100,9,,PL DES TILLEULS,0650,78330,78242,Fontenay-le-Fleury,78,,,78242000AI0229,,,,,,,,,,,,,0,1,Maison,63,4,S,sols,,,417,2.043195,48.81695
2021-363936,2021-01-04,000001,Vente,232749,2,,ALL RENE FONCK,0533,78210,78545,Saint-Cyr-l'École,78,,,78545000AE0165,,,102,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.061367,48.808488
2021-363936,2021-01-04,000001,Vente,232749,2,,ALL RENE FONCK,0533,78210,78545,Saint-Cyr-l'École,78,,,78545000AE0165,,,101,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.061367,48.808488
2021-363936,2021-01-04,000001,Vente,232749,2,,ALL RENE FONCK,0533,78210,78545,Saint-Cyr-l'École,78,,,78545000AE0165,,,81,62.55,,,,,,,,,1,2,Appartement,62,3,,,,,,2.061367,48.808488
2021-363937,2021-01-08,000001,Vente,147280,21,,RUE DE KOPRIVNICE,0375,78190,78621,Trappes,78,,,78621000AX0120,,,118,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.98778,48.779811
2021-363937,2021-01-08,000001,Vente,147280,21,,RUE DE KOPRIVNICE,0375,78190,78621,Trappes,78,,,78621000AX0120,,,63,43.12,,,,,,,,,1,2,Appartement,43,2,,,,,,1.98778,48.779811
2021-363938,2021-01-06,000001,Vente,448650,10,,GR GRANDE RUE,0090,78350,78343,Les Loges-en-Josas,78,,,78343000AA0150,,,,,,,,,,,,,0,1,Maison,94,4,S,sols,,,151,2.141604,48.764397
2021-363939,2021-01-05,000001,Vente,441000,23,,RUE DES MOINES,1930,78000,78646,Versailles,78,,,78646000BI0144,,,13,,2,56.79,3,,5,,7,,5,2,Appartement,55,2,,,,,,2.155041,48.792598
2021-363939,2021-01-05,000001,Vente,441000,23,,RUE DES MOINES,1930,78000,78646,Versailles,78,,,78646000BI0144,,,6,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.155041,48.792598
2021-363940,2021-01-08,000001,Vente,190000,5,,RUE BONNARD,0101,78350,78322,Jouy-en-Josas,78,,,78322000AK0175,,,17,41.92,,,,,,,,,1,2,Appartement,40,2,,,,,,2.168218,48.763633
2021-363941,2021-01-05,000001,Vente,470200,18,,PROM MONA LISA,1965,78000,78646,Versailles,78,,,78646000AZ0110,,,1882,,1900,101.75,,,,,,,2,2,Appartement,102,4,,,,,,2.158672,48.8041
2021-363941,2021-01-05,000001,Vente,470200,5,,RUE DE L ECOLE DES POSTES,0850,78000,78646,Versailles,78,,,78646000AZ0110,,,3824,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.158672,48.8041
2021-363942,2021-01-07,000001,Vente,262000,11,,RUE SAINTE SOPHIE,2890,78000,78646,Versailles,78,,,78646000AD0444,,,11,,3,36.32,,,,,,,2,2,Appartement,45,2,,,,,,2.132888,48.810876
2021-363943,2021-01-07,000001,Vente,163000,3,,RUE JEAN BAPTISTE MOLIERE,0285,78390,78073,Bois-d'Arcy,78,,,78073000BA0077,,,141,72.03,157,,,,,,,,2,2,Appartement,71,3,,,,,,2.015081,48.806735
2021-363944,2021-01-05,000001,Vente,572000,17,,RUE DES PRES AUX BOIS,2430,78000,78646,Versailles,78,,,78646000BC0073,,,58,,,,,,,,,,1,1,Maison,85,4,,,,,,2.159249,48.800346
2021-363944,2021-01-05,000001,Vente,572000,17,,RUE DES PRES AUX BOIS,2430,78000,78646,Versailles,78,,,78646000BC0073,,,74,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.159249,48.800346
2021-363945,2021-01-11,000001,Vente,297000,19,,RUE DU GENERAL GALLIENI,0555,78220,78686,Viroflay,78,,,78686000AC0785,,,101,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.174632,48.806226
2021-363945,2021-01-11,000001,Vente,297000,19,,RUE DU GENERAL GALLIENI,0555,78220,78686,Viroflay,78,,,78686000AC0785,,,194,,333,52.11,,,,,,,2,2,Appartement,52,2,,,,,,2.174632,48.806226
2021-363946,2021-01-11,000001,Vente,257000,5,,RUE CAROLINE AIGLE,0227,78280,78297,Guyancourt,78,,,78297000BK0163,,,31,68.19,78,,,,,,,,2,2,Appartement,67,3,,,,,,2.08085,48.76974
2021-363946,2021-01-11,000001,Vente,257000,5,,RUE CAROLINE AIGLE,0227,78280,78297,Guyancourt,78,,,78297000BK0163,,,91,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.08085,48.76974
2021-363946,2021-01-11,000001,Vente,257000,5,,RUE CAROLINE AIGLE,0227,78280,78297,Guyancourt,78,,,78297000BK0163,,,92,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.08085,48.76974
2021-363947,2021-01-08,000001,Vente,286000,6,,RUE BAILLY,0280,78000,78646,Versailles,78,,,78646000AH0044,,,7,,,,,,,,,,1,2,Appartement,50,3,,,,,,2.122652,48.80117
2021-363948,2021-01-05,000001,Vente,583000,2,,RUE JEAN MERMOZ,1460,78000,78646,Versailles,78,,,78646000BN0167,,,320,,725,,,,,,,,2,2,Appartement,76,3,,,,,,2.142752,48.797871
2021-363949,2021-01-04,000001,Vente,143000,4,,RUE CESAR FRANCK,0115,78330,78242,Fontenay-le-Fleury,78,,,78242000AC0334,,,905,57.15,920,,,,,,,,2,2,Appartement,50,3,,,,,,2.049655,48.809228
2021-363950,2021-01-08,000001,Vente,152500,184,,RUE TABUTEAU,0269,78530,78117,Buc,78,,,78117000AH0063,,,10,,57,,58,,59,,,,4,4,Local industriel. commercial ou assimilé,264,0,,,,,,2.122375,48.762745
2021-363951,2021-01-05,000001,Vente en l'état futur d'achèvement,215000,,,MAGASIN GENERAL D AVIATION,B029,78210,78545,Saint-Cyr-l'École,78,,,78545000AE0361,,,71,,,,,,,,,,1,,,,,,,,,,2.063869,48.80803
2021-363952,2021-01-08,000001,Vente,120000,57,,BD DE LA REINE,2520,78000,78646,Versailles,78,,,78646000AD0484,,,107,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.129678,48.809534
2021-363953,2021-01-04,000001,Vente,20000,20,,RUE HOCHE,1350,78000,78646,Versailles,78,,,78646000AE0216,,,214,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,10,0,,,,,,2.128924,48.806998
2021-363954,2021-01-07,000001,Vente,200000,15,,RUE AUGUSTE RENOIR,0050,78390,78073,Bois-d'Arcy,78,,,78073000BB0081,,,1806,,1837,,,,,,,,2,2,Appartement,66,4,,,,,,2.020161,48.803648
2021-363954,2021-01-07,000001,Vente,200000,9002,,RUE AUGUSTE RENOIR,0050,78390,78073,Bois-d'Arcy,78,,,78073000BB0081,,,1948,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.020161,48.803648
2021-363955,2021-01-06,000001,Vente,280250,8,,IMP DES GENDARMES,1140,78000,78646,Versailles,78,,,78646000BR0006,,,20,,,,,,,,,,1,2,Appartement,43,2,,,,,,2.131117,48.80027
