,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-03-31,8213.163209999999,7528.716591903329,10548.768913991838,8213.163209999999,8213.163209999999,866.3234074495662,866.3234074495662,866.3234074495662,866.3234074495662,866.3234074495662,866.3234074495662,0.0,0.0,0.0,9079.486617449566
1,2015-04-30,8592.647151737288,7210.345012529028,10414.261275607678,8592.647151737288,8592.647151737288,271.0559420536972,271.0559420536972,271.0559420536972,271.0559420536972,271.0559420536972,271.0559420536972,0.0,0.0,0.0,8863.703093790986
2,2015-05-31,8984.780558199152,7013.615010684734,10099.914284591958,8984.780558199152,8984.780558199152,-511.265730775284,-511.265730775284,-511.265730775284,-511.265730775284,-511.265730775284,-511.265730775284,0.0,0.0,0.0,8473.514827423869
3,2015-06-30,9364.26449993644,7679.856735203789,10578.373249650762,9364.26449993644,9364.26449993644,-220.57876445920115,-220.57876445920115,-220.57876445920115,-220.57876445920115,-220.57876445920115,-220.57876445920115,0.0,0.0,0.0,9143.685735477238
4,2015-07-31,9756.397907770439,8842.791884136372,11894.574172289233,9756.397907770439,9756.397907770439,656.708320714413,656.708320714413,656.708320714413,656.708320714413,656.708320714413,656.708320714413,0.0,0.0,0.0,10413.106228484852
5,2015-08-31,10148.531315604438,8808.665871664138,11726.365078810028,10148.531315604438,10148.531315604438,89.56823386144248,89.56823386144248,89.56823386144248,89.56823386144248,89.56823386144248,89.56823386144248,0.0,0.0,0.0,10238.09954946588
6,2015-09-30,10528.015258669597,9489.62401148798,12697.647202264536,10528.015258669597,10528.015258669597,516.4859217299119,516.4859217299119,516.4859217299119,516.4859217299119,516.4859217299119,516.4859217299119,0.0,0.0,0.0,11044.50118039951
7,2015-10-31,10920.1486656219,9266.350995480554,12199.013937711119,10920.1486656219,10920.1486656219,-204.48174452080895,-204.48174452080895,-204.48174452080895,-204.48174452080895,-204.48174452080895,-204.48174452080895,0.0,0.0,0.0,10715.666921101092
8,2015-11-30,11299.632607833806,8877.050628010522,11998.136106990723,11299.632607833806,11299.632607833806,-803.2709741106113,-803.2709741106113,-803.2709741106113,-803.2709741106113,-803.2709741106113,-803.2709741106113,0.0,0.0,0.0,10496.361633723194
9,2015-12-31,11691.76601478611,11165.786400670406,14326.360693444285,11691.76601478611,11691.76601478611,998.2723283613157,998.2723283613157,998.2723283613157,998.2723283613157,998.2723283613157,998.2723283613157,0.0,0.0,0.0,12690.038343147426
10,2016-01-31,12084.054094684667,10464.521516650942,13444.165809306282,12084.054094684667,12084.054094684667,-155.83467463045457,-155.83467463045457,-155.83467463045457,-155.83467463045457,-155.83467463045457,-155.83467463045457,0.0,0.0,0.0,11928.219420054213
11,2016-02-29,12451.033266202674,10700.813384235396,13837.187422265093,12451.033266202674,12451.033266202674,-215.13805586539297,-215.13805586539297,-215.13805586539297,-215.13805586539297,-215.13805586539297,-215.13805586539297,0.0,0.0,0.0,12235.895210337281
12,2016-03-31,12843.321346101233,11297.152160388456,14212.162007421726,12843.321346101233,12843.321346101233,-141.11393116683723,-141.11393116683723,-141.11393116683723,-141.11393116683723,-141.11393116683723,-141.11393116683723,0.0,0.0,0.0,12702.207414934395
13,2016-04-30,13223.083175279708,12396.848549030447,15420.310219725046,13223.083175279708,13223.083175279708,651.1347921050602,651.1347921050602,651.1347921050602,651.1347921050602,651.1347921050602,651.1347921050602,0.0,0.0,0.0,13874.217967384768
14,2016-05-31,13615.503732097462,11552.534184496175,14555.974756489757,13615.503732097462,13615.503732097462,-522.6558354730723,-522.6558354730723,-522.6558354730723,-522.6558354730723,-522.6558354730723,-522.6558354730723,0.0,0.0,0.0,13092.84789662439
15,2016-06-30,13995.265561275937,12939.985707638913,15975.896486602327,13995.265561275937,13995.265561275937,439.16182417581905,439.16182417581905,439.16182417581905,439.16182417581905,439.16182417581905,439.16182417581905,0.0,0.0,0.0,14434.427385451756
