,insee,nom,surf_ha,x,y
0,2B222,Pie-d'Orezza,573.0,9.338151,42.37429
1,2B137,Lano,824.0,9.235358,42.378872
2,2B051,Cambia,833.0,9.302108,42.36875
3,2B106,Érone,393.0,9.266614,42.375565
4,2B185,Oletta,2674.0,9.333845,42.641773
5,2B058,Canari,1678.0,9.345244,42.843018
6,2B188,Olmeta-di-Tuda,1753.0,9.36395,42.612324
7,2B052,Campana,236.0,9.340427,42.38827
8,2B063,Carcheto-Brustico,525.0,9.360264,42.355206
9,2B015,Ampriani,230.0,9.357018,42.25404
10,2B213,Pianello,1677.0,9.356417,42.29772
11,2B364,Zuani,518.0,9.340922,42.265465
12,2B226,Pietraserena,678.0,9.354713,42.233727
13,2B221,Piedipartino,326.0,9.344913,42.357864
14,66113,Montbolo,2230.0,2.6322105,42.491077
15,15007,Anterrieux,1646.0,3.056652,44.831142
16,15002,Alleuze,2573.0,3.0982256,44.959618
17,15055,Coren,1681.0,3.1085415,45.087566
18,15013,Auriac-l'Église,2000.0,3.126094,45.264206
19,15105,Leyvaux,1506.0,3.089189,45.324688
20,15151,Peyrusse,2921.0,3.0306454,45.21104
21,15126,Molèdes,2246.0,3.0432682,45.266895
22,15098,Laurie,1939.0,3.082813,45.284588
23,15043,Charmensac,1541.0,3.075582,45.22641
24,15121,Maurines,1457.0,3.0823085,44.86982
25,15127,Molompize,1732.0,3.1267734,45.233932
26,15004,Andelat,2112.0,3.0593047,45.070225
27,15262,Villedieu,1916.0,3.0551753,44.997547
28,66202,Targasonne,787.0,1.9885191,42.50352
29,66001,L'Albère,1620.0,2.8958707,42.475983
30,66117,Mont-Louis,38.0,2.119672,42.510017
31,15069,Ferrières-Saint-Mary,1932.0,3.0825346,45.172054
32,15231,Talizat,3799.0,3.0532558,45.12336
33,15161,Rézentières,1335.0,3.105731,45.13419
34,48064,Fournels,1557.0,3.129089,44.81128
35,48031,Brion,2202.0,3.0787776,44.750126
36,42047,Champoly,1505.0,3.8438363,45.85368
37,66072,Estavar,926.0,2.0093265,42.474976
38,66064,Égat,451.0,2.017709,42.502296
39,66063,Les Cluses,879.0,2.8439355,42.48487
40,66137,Le Perthus,423.0,2.8590043,42.465702
41,66027,La Cabanasse,317.0,2.1062887,42.501904
42,66220,Valcebollère,2620.0,2.0427725,42.380814
43,66123,Nyer,3640.0,2.274641,42.502342
44,66066,Enveitg,3039.0,1.8928264,42.496754
45,2B229,Pietroso,2586.0,9.300299,42.126488
46,2A269,Sari-Solenzara,7448.0,9.352471,41.813484
47,2A092,Conca,7846.0,9.329775,41.753414
48,2B121,Galéria,13592.0,8.707087,42.408054
49,2B095,Corscia,5876.0,9.055662,42.369125
50,2B153,Manso,12103.0,8.818923,42.371025
51,66003,Amélie-les-Bains-Palalda,2932.0,2.6833172,42.444073
52,66106,Maureillas-las-Illas,4235.0,2.800832,42.460014
53,34085,Coulobres,300.0,3.275072,43.450954
54,66194,Serralongue,2267.0,2.5572994,42.382927
55,66102,Mantet,3254.0,2.2943833,42.4536
56,66179,Saint-Laurent-de-Cerdans,4482.0,2.6216974,42.39697
57,66009,Arles-sur-Tech,2848.0,2.6260543,42.449448
58,66060,Corsavy,4765.0,2.540572,42.482838
59,66116,Montferrer,2175.0,2.5648015,42.44349
60,58117,Fourchambault,448.0,3.0911276,47.016647
61,66206,Le Tech,2613.0,2.513628,42.44163
62,02604,Pithon,245.0,3.1036458,49.75622
63,66150,Prats-de-Mollo-la-Preste,11964.0,2.4411051,42.420162
64,66155,Py,4997.0,2.3599298,42.473377
65,66142,Planès,1441.0,2.1457052,42.47218
66,66080,Fontpédrouse,6427.0,2.195284,42.463192
67,66188,Saint-Pierre-dels-Forcats,1298.0,2.1182964,42.479504
68,66181,Sainte-Léocadie,884.0,2.0093548,42.433956
69,66025,Bourg-Madame,770.0,1.9605752,42.438335
70,66132,Palau-de-Cerdagne,1124.0,1.9792832,42.38599
71,66100,Llo,2864.0,2.0895047,42.433784
72,03061,Charmes,837.0,3.246446,46.08265
73,66075,Eyne,2044.0,2.1085591,42.454773
74,66160,Reynès,2761.0,2.7057045,42.47527
75,66095,Latour-de-Carol,1295.0,1.873199,42.47298
76,89136,Cuy,708.0,3.2728465,48.256886
77,66067,Err,2613.0,2.065763,42.41079
78,66120,Nahuja,563.0,1.9980309,42.423702
79,89367,Saints-en-Puisaye,2768.0,3.2705727,47.62336
80,89173,Fontaines,2547.0,3.2560978,47.69252
81,66130,Osséja,1713.0,1.9969542,42.395313
82,66218,Ur,675.0,1.9414232,42.462143
83,97612,Mtsamboro,1637.0,45.073032,-12.687262
84,66167,Saillagouse,1116.0,2.0393457,42.45905
85,66049,Céret,3808.0,2.75263,42.47407
86,2B016,Antisanti,4808.0,9.383483,42.15656
87,97117,Le Moule,8288.0,-61.371353,16.320263
88,97128,Sainte-Anne,8055.0,-61.387478,16.257404
89,2B338,Valle-d'Orezza,398.0,9.403456,42.362328
90,97403,Entre-Deux,5155.0,55.49242,-21.203905
91,2B256,Rapaggio,257.0,9.384057,42.375183
92,2B164,Monacia-d'Orezza,455.0,9.404938,42.38135
93,2B067,Carpineto,246.0,9.380257,42.35598
94,2B291,Stazzona,138.0,9.375284,42.37991
95,2B202,Parata,286.0,9.419606,42.36749
