,insee,nom_commune,x,y,surf_ha,c.nom_commune,c.insee,nb_elec,visit_score,sleeping_score
0,62053,Audincthun,2.1431737,50.5828926,1520.0,Audincthun,62053,7.0,1.7369389040461132,3.6082891041236924
1,80284,Esmery-Hallon,3.0123898,49.7172363,1888.0,Esmery-Hallon,80284,10.0,1.0347808524903082,0.0
2,31290,Lège,0.6100228,42.8767279,289.0,Lège,31290,1.0,0.09736270835378259,2.256619605577781
3,28400,Varize,1.5140001,48.0945937,1387.0,Varize,28400,2.0,0.33284241599182085,0.029745936765667797
4,37220,Saint-Germain-sur-Vienne,0.0999428,47.1935069,1338.0,Saint-Germain-sur-Vienne,37220,3.0,2.988119918336076,1.3997511181060525
5,42333,Villers,4.22029,46.1202,585.0,Villers,42333,5.0,0.3227514490751079,0.0
6,25393,Montécheroux,6.8062962,47.3496097,1324.0,Montécheroux,25393,4.0,1.1601034320058532,1.9707946869811228
7,40180,Meilhan,-0.7022683,43.8634848,3915.0,Meilhan,40180,21.0,2.049500561809433,1.0247502809047164
8,82188,Varennes,1.4966458,43.9017733,1467.0,Varennes,82188,16.0,0.16269672244014088,0.1953194961103455
9,52347,Narcy,5.0883817,48.5821686,1123.0,Narcy,52347,0.0,0.1508969010004807,0.3976704778137001
10,92051,Neuilly-sur-Seine,2.2695658,48.884683,373.0,Neuilly-sur-Seine,92051,2916.0,6.101495221987806,2.7846605216049887
11,37104,Esvres,0.7861713,47.2845819,3584.0,Esvres,37104,135.0,4.103291832090736,1.1506871465924733
12,77467,La Tombe,3.08915,48.38756,784.0,La Tombe,77467,0.0,0.09337662041992581,0.0
13,04040,Le Castellard-Mélan,6.1250021,44.1878109,2592.0,Le Castellard-Mélan,04040,1.0,1.1682743525795554,0.0
14,45197,Marigny-les-Usages,2.0145745,47.9571946,968.0,Marigny-les-Usages,45197,25.0,0.02078208198798076,0.0
15,62395,Guigny,1.9988446,50.3298951,364.0,Guigny,62395,0.0,0.11345484497735014,0.0
16,59217,Eth,3.6671281,50.3260433,284.0,Eth,59217,8.0,8.623315762530881,0.0
17,41051,Chissay-en-Touraine,1.13259,47.33672,1828.0,Chissay-en-Touraine,41051,6.0,2.5581553780169894,6.681747618677171
18,55055,Blanzée,5.5382513,49.159389,338.0,Blanzée,55055,0.0,0.45179218800145404,0.9714392214649956
19,71293,Ménetreuil,5.1119291,46.5830889,1516.0,Ménetreuil,71293,2.0,2.080025840629314,2.1398633322188374
20,60583,Saint-Léger-en-Bray,2.0255422,49.3922621,443.0,Saint-Léger-en-Bray,60583,5.0,0.01951404357219476,4.423140371734098
21,38487,Seyssuel,4.8441736,45.5596286,966.0,Seyssuel,38487,79.0,4.150316210209244,0.3226855694647853
22,73053,Bourgneuf,6.2100387,45.5518685,648.0,Bourgneuf,73053,8.0,1.7655955353583686,0.4423442783214518
23,86190,Persac,0.7050791,46.3445154,6034.0,Persac,86190,8.0,2.1478971733973573,12.656050296249665
24,76069,Belbeuf,1.1428248,49.3880756,655.0,Belbeuf,76069,64.0,1.2498744716239514,0.4040741711360468
25,77039,Boissise-la-Bertrand,2.5930441,48.5338939,780.0,Boissise-la-Bertrand,77039,25.0,0.03993585051436646,0.06216802942590312
26,38350,Sainte-Agnès,5.9251839,45.2360365,2671.0,Sainte-Agnès,38350,16.0,1.6555281756408404,0.0
27,31204,Fustignac,0.9829763,43.2984256,400.0,Fustignac,31204,0.0,0.28377234744592755,0.013754766826759262
28,17240,Montendre,-0.4095433,45.285404,2579.0,Montendre,17240,65.0,20.56936660441277,0.0
29,15159,Raulhac,2.6558892,44.8993827,1707.0,Raulhac,15159,4.0,5.183397156195292,0.0
30,70332,Marast,6.3823655,47.5573295,305.0,Marast,70332,1.0,2.192409454847769,0.686535050836147
31,21418,Moitron,4.82063,47.67601,1543.0,Moitron,21418,0.0,0.0,0.1716701322023835
32,19184,Saint-Bazile-de-Meyssac,1.7249327,45.0509149,452.0,Saint-Bazile-de-Meyssac,19184,1.0,0.14452175807761602,0.4897783825990718
33,52315,Marnay-sur-Marne,5.2368184,48.0098127,1081.0,Marnay-sur-Marne,52315,3.0,0.0629227825082891,0.08861088434710582
34,02801,Vigneux-Hocquet,3.9910759,49.739101,1386.0,Vigneux-Hocquet,02801,2.0,1.1177968707906665,0.09163335735753098
35,85078,Damvix,-0.7337345,46.3156917,1160.0,Damvix,85078,5.0,5.589960409445615,12.804584781833645
36,47042,Brugnac,0.4380127,44.4483398,1485.0,Brugnac,47042,0.0,5.856828997448409,2.746721284872129
